808hz,812hz,816hz,820hz,824hz,828hz,832hz,835hz,839hz,843hz,847hz,851hz,855hz,859hz,863hz,867hz,871hz,875hz,878hz,882hz,886hz,890hz,894hz,898hz,902hz,906hz,910hz,914hz,917hz,921hz,925hz,929hz,933hz,937hz,941hz,945hz,949hz,953hz,957hz,960hz,964hz,968hz,972hz,976hz,980hz,984hz,988hz,992hz,996hz,1000hz,1003hz,1007hz,1011hz,1015hz,1019hz,1023hz,1027hz,1031hz,1035hz,1039hz,1042hz,1046hz,1050hz,1054hz,1058hz,1062hz,1066hz,1070hz,1074hz,1078hz,1082hz,1085hz,1089hz,1093hz,1097hz,1101hz,1105hz,1109hz,1113hz,1117hz,1121hz,1125hz,1128hz,1132hz,1136hz,1140hz,1144hz,1148hz,1152hz,1156hz,1160hz,1164hz,1167hz,1171hz,1175hz,1179hz,1183hz,1187hz,1191hz,1195hz,1199hz,1203hz,1207hz,1210hz,1214hz,1218hz,1222hz,1226hz,1230hz,1234hz,1238hz,1242hz,1246hz,1250hz,1253hz,1257hz,1261hz,1265hz,1269hz,1273hz,1277hz,1281hz,1285hz,1289hz,1292hz,1296hz,1300hz,1304hz,1308hz,1312hz,1316hz,1320hz,1324hz,1328hz,1332hz,1335hz,1339hz,1343hz,1347hz,1351hz,1355hz,1359hz,1363hz,1367hz,1371hz,1375hz,1378hz,1382hz,1386hz,1390hz,1394hz,1398hz,1402hz,1406hz,1410hz,1414hz,1417hz,1421hz,1425hz,1429hz,1433hz,1437hz,1441hz,1445hz,1449hz,1453hz,1457hz,1460hz,1464hz,1468hz,1472hz,1476hz,1480hz,1484hz,1488hz,1492hz,1496hz,1500hz,1503hz,1507hz,1511hz,1515hz,1519hz,1523hz,1527hz,1531hz,1535hz,1539hz,1542hz,1546hz,1550hz,1554hz,1558hz,weight
21464,25956,15296,15505,24180,19669,6803,16619,27385,20342,13547,30070,28460,7910,20691,35770,28619,7749,48849,66676,34054,46863,148782,240137,286701,264024,178467,68775,21411,65043,57237,9252,53734,93694,96548,73982,50125,37242,26131,17487,24150,23893,13309,14430,18925,14357,7680,16104,19602,10465,13171,24427,25014,19623,16285,14512,11267,13336,16861,13083,10420,14454,13605,8766,9175,13825,11395,6560,12035,10526,11891,19822,21025,16678,6566,8954,18154,14122,4420,9361,20148,26088,11392,32979,86061,132758,155063,139532,88475,29364,33430,44949,30716,15257,29124,32444,20377,20520,27269,20495,12500,19910,22804,15921,13841,21108,19764,15913,20467,21118,14646,11419,16429,16740,13762,18177,19956,14150,12771,17505,17243,13007,14957,19324,17445,15326,17327,14805,9821,13893,18888,17823,15684,19729,20459,15714,16233,18804,15302,10755,16526,20940,17435,16072,20205,17951,14001,18874,21565,16338,16698,26747,26116,17311,27678,37385,30079,29717,67862,106200,120419,104077,68240,30171,6162,16298,15757,6155,2380,5553,7610,6236,2568,7799,8095,3460,2598,5872,6879,5270,7281,9598,7466,5702,7005,6427,4722,5808,8208,8069,7543,8613,7399,34.5
9732,44745,57445,28265,31779,64005,48374,9138,56711,67447,28355,40166,85303,67769,12258,88485,103381,32102,85299,164249,125666,60690,335120,581397,682245,595217,371398,119074,69532,124026,80729,25012,40055,68335,137098,186878,174775,103690,34462,73494,80668,46159,40136,63947,60782,37704,45397,74782,72677,36130,111572,222134,287390,273582,186425,66255,40252,80650,60949,30242,54988,66135,54739,45937,65905,90734,83825,68302,173675,311993,397678,386806,281070,126006,18727,77874,67233,37971,44528,41174,46942,63700,46415,47037,150682,239280,260368,205334,106465,13981,49281,53382,19259,19292,33399,20811,5482,19468,22013,10661,11336,20007,14003,9905,15096,15412,14440,10347,13157,17036,15824,14906,11156,16651,22613,13397,17893,49874,84044,111762,121280,106672,74020,35235,1125,24223,29703,17601,4989,12331,9740,2639,12596,18203,11451,5763,19720,19227,5092,11811,21104,17409,1712,19478,26663,13522,11651,28188,25232,3049,27384,44222,29493,18771,63474,72271,24600,98906,239516,356652,399047,347147,224897,85438,39563,79889,62974,20646,39941,48981,28319,16030,33579,32286,15526,23235,32149,22192,13640,24132,24142,13480,16133,24875,20826,13346,20878,22470,13914,12545,19146,17269,10680,34.5
12862,25111,31841,20637,22010,32904,24897,9274,26565,34745,20691,25645,47432,38127,16812,48265,55391,21586,45744,94050,79372,31141,190212,342200,414812,378123,249855,84985,46824,96402,64161,6662,67317,96292,102270,99831,84391,47704,6889,27725,28568,13913,12154,20316,17131,7783,16916,15775,13668,14795,11341,45623,73809,78023,57133,20494,18679,32066,17850,11182,25224,18850,672,17597,22472,10051,13353,23234,10975,25536,48363,48694,26852,5502,28450,26191,1393,31057,35788,9342,29285,51125,36732,19591,96146,159296,174817,137059,70370,8916,29236,33260,15576,14479,20966,13016,9290,12776,9282,5988,10451,11327,7978,9791,10091,8019,10858,10359,4696,4145,10585,12511,10657,11400,9730,4906,9887,12427,9917,4669,5326,8409,6104,9317,11987,7421,5188,7421,4649,3733,12073,15005,7657,7970,15468,11279,625,9529,12048,6306,6241,16048,13250,1380,14952,15621,4419,11058,19105,14896,6615,24461,26918,8857,29469,42781,25349,52370,130720,200236,225110,190124,112821,31921,29507,45606,29294,6933,24918,21984,1877,16457,20239,11227,4541,14584,14773,3190,10638,14555,6330,5442,10885,8857,2020,7406,12104,7318,4040,10991,8729,1031,6007,34.5
21537,26349,38901,30484,17199,39249,44891,24180,31621,48165,33504,14769,43466,47923,19457,38302,62995,38106,34115,89191,83635,8660,158925,312630,396158,365278,233692,66623,61658,106472,70797,13266,89365,134250,152935,166742,160782,112593,38953,53015,83599,64120,32426,72705,86543,47997,57809,108174,93406,38468,167055,302306,363006,321612,206011,79904,17480,35170,27587,25702,17679,11433,39207,36424,25263,68637,77107,40819,142878,290036,389068,388407,285326,129398,12501,84691,89385,51182,30215,60341,78945,69624,20772,115860,258314,365851,390327,322013,191311,62040,73957,97561,67268,36243,54740,57566,38623,35458,48431,44837,32676,39010,45387,35860,25928,36137,41922,32581,31909,49938,52718,34480,36126,59305,57617,35710,88398,168125,218114,215285,162676,81298,12529,58541,68504,40631,5006,30101,33719,14662,19822,36601,27959,4490,26239,31886,15722,11191,30922,28113,3448,25054,32963,15076,13565,31414,26547,8169,30187,37642,15586,28489,49473,35440,28636,62412,67143,75569,173445,287620,343911,307883,196644,64292,40367,73153,46440,8255,42202,38253,5977,25574,34127,17688,10676,28995,25956,8346,20316,25149,13076,12070,21398,17580,8151,17013,20890,14211,14145,18935,15396,11710,15933,34.5
11054,4134,4368,13227,11973,4605,16599,15832,4878,7027,8289,12022,7364,10655,19320,14582,12931,12651,25691,39078,20858,33939,105388,173807,215422,205183,140913,58085,39231,59390,45204,27194,67471,94435,95472,90302,79015,50533,14706,14921,30971,28138,11866,22362,28055,18311,13613,18977,18993,19119,35326,50089,57117,62812,57546,33008,5415,23260,30072,20567,7241,27517,30428,10964,16296,28796,20577,7697,44493,78184,90433,75970,46277,18527,11410,19924,22213,17105,17264,25900,26001,17195,26108,56550,87981,104233,98398,76535,47529,21955,23306,27190,19450,14340,17284,17142,12846,13562,17982,16554,13521,13614,11817,9398,11850,15485,14820,13194,14603,12019,6252,7556,9199,7463,7346,12323,11683,7064,17048,23119,19056,10991,11255,15855,14538,12816,18135,17764,9422,6101,9945,9634,9516,14846,16704,11811,12791,16821,13390,8611,12824,16200,13556,13748,18931,15953,10937,18106,20319,13916,14055,23839,22441,14510,31481,39548,23838,43025,101435,151929,170048,145411,90334,33007,15637,26015,18508,5354,14566,14324,5330,8928,9634,4021,2148,6457,7013,3289,6554,7680,3451,5744,6625,3227,1509,4462,5986,3887,5799,8195,5241,3082,4616,34.5
26327,25352,25057,27796,27319,18594,11520,25452,42349,58173,68291,65137,50286,43888,57715,71622,77336,77700,73367,62132,52782,61234,74636,76629,68146,58239,52078,48829,51894,65185,78302,80496,72724,64992,66598,76577,91052,107587,116968,110463,94164,86685,94013,104552,112192,116332,113025,99790,87550,90348,98149,96205,84484,69528,54496,41561,38164,49787,69497,86054,93293,94450,95711,99114,108132,125124,140314,141863,131525,123371,124842,129973,134325,135387,126736,106347,85258,76296,74508,72180,71493,74627,77840,76484,74888,84839,104776,122195,131434,135101,136060,135973,141540,155824,167234,164196,149581,135286,126442,120616,116454,109955,95413,74051,55322,48372,49082,50090,52037,56572,60073,56975,50347,53418,64330,70979,71999,71146,68542,62896,61216,70975,80257,76972,63228,47665,35092,28218,29849,33895,32277,24636,19100,19923,22030,24565,29905,41247,53506,58461,54350,47231,46373,52965,61379,68555,70322,62066,46711,36724,38437,41551,40923,38171,34745,30609,25851,22950,30262,46266,61034,70279,74748,74881,71705,72774,83900,96672,101165,97149,90896,86362,84642,87482,91355,88362,76361,61830,53318,51641,52825,56398,62430,67728,68302,65406,67438,78081,90931,101716,109731,112479,108739,34.5
62367,60798,24193,55409,72833,37178,31303,64867,45589,23898,69797,72218,31491,59385,86694,55281,39055,82324,71035,28443,75904,94286,52825,46888,88467,66568,15060,74691,76674,19036,64494,92716,50536,40051,96357,78911,21588,92961,104975,41742,79012,127549,88018,35303,113354,113064,29253,95522,132417,63922,67576,146046,115146,15154,130030,148237,43402,114284,185159,110558,70813,198424,178268,27320,190837,250833,114106,150318,305956,229425,64928,329066,364308,98083,325169,539126,321666,285960,835975,825977,140659,1695267,3435870,4550181,4533405,3405178,1688525,246792,935184,1176748,1000974,741356,449304,88246,239850,323965,155003,115985,270182,204840,30670,214205,236261,78657,130502,220417,130870,59420,198152,179928,23612,149233,200269,91843,98555,207251,154894,50586,211367,242252,91169,180050,357828,295866,74056,620667,1170966,1494221,1452257,1071522,558724,294416,356190,348844,358335,350041,269045,438120,614238,478310,633276,1531775,2355394,2642270,2232114,1309647,292334,405647,584397,332782,77067,334597,321873,102248,174780,322744,340960,327427,336094,297577,186247,84581,106937,98659,25086,152955,285047,328574,255922,108807,67613,132259,102349,32088,90265,100119,41004,56162,94297,66706,17724,69296,75332,26778,40023,70935,54129,18184,9603,18818,64816,97235,83330,24.1
47695,34361,60707,56931,32659,55794,62861,35532,46008,64986,44439,37070,65666,56252,32296,62193,64831,32736,53846,70546,42654,41840,71171,55497,33889,69127,67233,33306,62793,75055,40257,51819,78940,53545,39844,79598,69279,33490,75768,82813,38303,64699,90752,54292,50070,93062,72804,39623,93420,93459,37482,80056,103648,54193,69197,113919,77887,53551,119689,106983,44442,116394,133684,60116,104923,156554,95403,86164,174890,142857,69774,189027,202877,85634,194843,279142,163679,190867,397020,352178,188746,698496,1218775,1460121,1340859,919842,449025,803841,1417571,1710149,1518625,932780,249893,267326,375348,193921,105584,223473,161784,56122,145704,133791,47517,100167,110610,48346,71034,90099,45546,53229,75851,41835,42793,67850,38192,34510,63739,37213,26274,63227,44545,15462,65761,69068,24114,78662,210818,345853,397969,299310,85218,153001,214648,80315,147723,268269,148999,161462,417459,348498,267413,1053852,1777927,2036528,1688565,915826,115055,381934,411783,136312,172860,273010,147815,74174,190687,142711,25253,135626,133552,35346,93146,113822,40455,64746,94093,51178,117170,180229,143951,33008,81613,108211,47032,51691,95292,62135,27111,80541,71671,16249,64721,76935,29214,46431,76774,46843,25820,72938,70142,24437,36361,48537,15821,24.1
13483,21995,24400,15759,19056,24024,16387,14115,22983,20583,12924,21621,24040,14723,19358,25330,16963,14075,23416,20377,12320,22237,24746,14152,19240,26312,17361,14720,25108,21147,11284,22554,25243,13470,20083,28303,18186,15337,27220,22010,10973,24882,27226,13188,21487,30922,19052,17122,32437,27308,14272,27494,28818,11847,24997,35365,19991,20062,38240,28693,13066,37157,37705,12433,33838,47867,25306,27100,55006,41050,16641,58274,60142,15678,58901,87165,45825,54097,127337,110023,37499,228840,406048,488397,463097,367005,230281,128491,300254,495966,562066,455897,228415,33545,150383,142802,42412,74557,108489,60670,33683,83819,69733,16443,63739,73409,28731,43470,71022,45142,24579,65016,59322,16708,55768,69128,30112,43135,73897,49597,28080,73275,69755,26299,68016,87134,58746,89290,119884,69864,39086,126134,115803,15090,139166,182183,70548,153339,300652,221113,206365,734368,1205718,1374537,1153224,653077,117614,226631,281457,124128,76711,170236,116516,15293,111173,105962,19903,69039,92144,40761,36576,77223,52795,12391,63755,62975,17932,35441,48805,19733,24210,46150,29488,10700,39852,34580,3180,31659,35808,10759,21648,34286,18679,12013,31126,23711,4925,26155,24260,3800,24731,29374,11177,24.1
20139,23092,12093,16916,23625,14495,14671,24629,17870,12939,23997,19513,10804,22518,21489,9418,19965,23641,11663,18119,25796,15171,15974,26397,18048,12642,25177,20725,9470,23098,23600,9785,21516,26478,12834,19557,28033,15952,15556,27488,19249,11667,26691,23327,10136,25778,26872,11165,23707,27980,10450,22190,32909,18898,16573,32951,24526,13492,33422,30118,12584,32908,35274,14644,30163,39383,20046,26738,44127,29632,24124,47837,39489,24802,51777,51146,30081,54903,65682,51099,66431,93044,158284,270129,325643,229684,36692,371928,643108,726339,595628,332957,89702,108229,116441,54671,53359,67172,41382,36661,46958,32918,30025,37455,26440,25610,33583,23221,21280,32674,23818,17272,34152,28770,12402,33861,34691,10559,31264,41002,17178,27138,47876,28450,21554,53961,39467,19328,70758,70454,13039,68576,93190,35401,71982,132956,80570,75162,211617,193249,68887,457682,828325,979590,829779,459675,64621,183768,202028,67759,81166,129386,66809,37888,92444,64279,14206,67567,59416,6927,49213,54247,14602,33877,48418,21416,22306,43112,26195,13079,36889,28142,6187,30264,28738,4879,23354,28232,9663,17458,26738,12978,12560,24373,15013,7649,21197,16763,3208,16893,16856,4327,14771,24.1
17799,14053,22103,23653,16688,20623,24187,16871,15408,21338,18334,12173,19838,23179,16019,18953,24819,18072,14067,21350,19468,11298,18000,23043,15556,16139,24633,19294,12387,20785,20289,10353,15895,23165,16750,13904,24110,20418,10582,20366,21565,10083,14486,23938,18082,10201,23448,22763,9441,19129,23266,11792,13178,24250,19229,7338,23794,25775,9182,18889,26837,14223,9913,25870,23081,2891,23388,29944,11270,17749,31860,20288,8184,29941,30986,10316,26271,40186,24846,25132,44716,43347,67600,110252,118933,67048,42060,173516,278321,321963,296764,214122,100583,16836,66256,65142,23429,25783,48959,33951,7147,36595,36054,10393,24982,34302,19053,16231,32418,26232,14002,30173,30048,14821,25374,31064,18356,21261,33383,25279,19476,35840,32393,17736,34562,38380,19195,30285,46034,31077,28232,56553,48857,23126,64186,74023,30430,72366,123639,84050,97152,311513,494747,552780,458773,260850,51222,84298,109343,51040,25899,62776,46339,8291,36139,40105,16254,20139,33081,20604,11586,24555,20679,10192,16479,19883,13142,11109,17796,14234,9886,14782,13642,11036,11326,12505,12432,9465,11314,12004,9573,10351,10455,11218,10209,8607,11509,9838,8167,10939,9937,8387,8886,24.1
39142,83957,86656,61731,53518,62487,63254,74390,103439,137885,160128,147974,96942,37194,39840,49276,74033,122658,135995,90873,34431,78270,98458,97399,135205,177382,176969,135706,77708,21835,39461,59192,50742,77085,118029,114178,70735,90587,133276,113614,44528,55114,80403,50926,41904,84371,101021,103552,103368,81164,41522,27968,37429,79826,122601,121857,80286,46795,44094,81268,140453,143011,70201,118528,188376,126391,103796,282057,332891,207493,123339,211881,120367,242599,515553,514764,142016,423221,797868,652576,439856,1493872,2540963,3033015,2791552,1996500,1320880,1858213,2824349,3323252,3019216,1975572,649442,553090,912785,591835,178417,641692,703406,360599,199493,396193,298481,264246,456963,415206,142391,254362,385237,248787,123589,312708,313925,183290,241074,266654,88780,210678,418404,413681,230434,226138,381203,339025,202604,658334,1261389,1691220,1749729,1397457,788687,253075,390058,557027,554084,444518,456830,723254,876169,692773,634676,1399005,2192487,2544355,2299645,1568547,635805,203304,681299,755032,508112,265724,436533,484952,191535,430080,1144792,1704061,1876919,1584229,945193,231738,280560,400374,204345,301984,563040,580348,358746,58996,161996,195470,134203,169512,183602,77277,98969,242432,284222,223560,117471,67076,90407,74219,23184,91787,161845,176556,133270,74240,48464,27364,33975,24.1
17564,4419,22038,19751,5104,19350,20335,16375,7407,16094,24315,12285,17826,21666,8449,19849,23619,19688,12921,18060,29609,17347,14996,30622,21797,13245,20144,24919,22945,18039,31746,26590,12126,31126,27965,17379,27853,35105,30243,15017,37617,43577,19566,30046,41667,33514,29752,38553,44597,28866,32224,47417,29686,33597,53585,49079,39558,45416,57056,49183,55304,76341,57859,47922,80544,80515,69681,95059,114494,79847,68138,144522,145744,82960,151084,214284,174136,163253,284867,268858,223570,780071,1434676,1835688,1745014,1132230,573232,1332927,2062889,2254737,1879853,1147024,432193,357102,440303,273130,135577,277762,304759,213328,157601,147706,122633,193699,226640,140738,76815,194432,206610,80749,118158,221949,167555,42225,180180,214946,101295,114389,234985,185513,22277,245038,317188,161278,179707,541841,795520,871745,788277,596838,349933,151654,189996,232919,192318,175629,243151,332273,377599,337821,612171,1252292,1827692,2007859,1660299,916032,109320,402441,448555,163844,271201,404009,275503,279494,438963,369358,429694,860236,1111928,973681,562435,350307,441992,308696,338916,718843,883448,715390,337301,53599,210608,162340,16994,124248,111762,23105,119083,133461,51935,67921,119368,76921,42645,117929,110928,32391,84295,122212,83819,17558,52274,44738,32170,24.1
17600,16023,21938,19443,13623,19358,20586,14256,16809,21067,16324,15404,21191,18033,13826,20299,19685,12448,17102,20548,14718,15233,20983,17176,14013,20560,18923,12542,18184,19567,12336,15573,20920,15689,13441,20247,17568,12242,19169,19425,12288,16400,19450,12713,14226,20591,15594,12006,19107,14534,6648,20763,23184,12883,15419,22138,15363,13051,22540,18982,11381,21209,21533,11592,18263,22822,14375,15442,22700,16125,13957,24034,19589,12375,23390,21287,11568,23950,22774,1147,24616,34521,86485,189737,283221,309415,255815,221542,326727,443283,464239,370010,204121,69608,107964,113533,58308,51269,80472,58769,29920,62086,60501,25120,46390,60066,31547,32211,58031,41379,18875,52942,49191,11828,48844,59905,23447,37407,63327,36314,23296,62820,46247,16709,62543,43672,96365,224208,280203,209869,76780,142894,169713,76139,141845,219148,132729,149054,338519,326198,216755,661373,1155965,1367150,1178269,686828,145048,237307,302231,141103,80623,184490,131646,21028,123047,123480,30669,73150,104423,46903,55219,110656,80586,29476,132108,183489,159806,91306,29083,8296,3467,18473,16474,3876,23980,24281,3331,21341,27927,11247,14409,27513,17823,6424,24655,22215,2328,18420,19459,2718,25882,34763,19428,24.1
24564,21591,19196,22383,22517,19486,22032,24613,21283,21465,25505,23054,18959,21797,22583,18877,20655,24525,22134,20967,24734,22969,18858,21832,22810,18344,19362,23712,21386,19787,24584,23367,18518,22425,24266,18551,18924,25200,23333,18934,24123,25293,19771,22351,26014,21079,18268,23422,22861,19685,24590,25593,20038,23437,27442,21904,20379,26894,24871,19442,26726,29280,21851,25535,31265,23230,20329,31173,29302,20224,30780,36017,25010,29885,41700,32475,26766,45124,44564,29070,48515,65330,61810,80671,102639,69172,58928,200435,321315,359390,297272,168132,38614,49250,57525,21574,21411,34563,18984,11491,25511,18400,8181,21426,19501,8989,17134,19147,11606,14752,20095,16044,13935,19875,19453,16185,19897,21227,17254,17657,21857,21913,20194,23273,27277,25632,18469,15554,24126,33963,39570,39276,38002,45528,54827,54921,58443,77578,91708,115157,196270,306572,383783,383330,299336,170032,71524,75420,72571,41014,36888,45827,31660,20694,31804,27535,12953,18519,20866,11486,10693,15667,10650,5576,9519,5720,11372,19349,16535,7145,11508,15096,9445,4626,10526,8442,4649,10801,9868,2644,7524,9581,4887,4482,9132,7076,2061,6511,4495,3715,10673,10506,3837,24.1
36533,54169,48828,33463,30369,40648,59813,87021,107681,101151,70876,48713,47651,50176,54122,54221,43937,24859,12712,27178,65249,100538,113932,119165,136514,159051,172395,163615,139177,128871,134462,134226,125669,116872,113307,113973,117921,122516,123626,119972,117962,130404,142351,129039,89128,40687,55044,93656,116549,149957,180916,174639,136044,93576,60144,32163,23865,65924,98812,99212,79006,67325,69601,77359,86894,90078,79762,69976,78380,78409,57296,46156,60271,69340,66772,55132,44685,48215,51811,44603,34410,29263,31391,42524,56610,66189,63913,51486,44105,60093,94182,125720,146639,164283,187145,216260,234735,224670,200646,186851,168451,128618,78558,35643,16067,22752,36074,51119,65564,86366,111603,141034,175998,209429,232291,233468,208495,173277,146241,124661,107361,102458,105265,104559,96901,87511,74736,56124,57081,77502,92787,102473,105142,95157,70696,50058,76718,113967,143857,173053,188793,175825,136126,81454,39708,60920,107206,156125,186679,187699,170550,151078,135271,123704,112046,92308,70282,73243,104467,152294,203032,236970,243760,222591,185577,150771,109639,51510,24134,44032,47582,62775,89157,106954,110853,120483,131673,115042,77138,51870,42774,38961,46151,55574,46854,14290,26401,46942,59896,77307,80926,65331,56431,31.65
11418,5707,10648,6807,2320,8569,9422,3072,9215,16919,10374,7194,19335,16268,3614,8962,11566,7181,8431,18402,16103,3708,16398,15359,904,15962,17809,7622,9318,20198,17425,5037,21800,21730,6403,25542,28493,14278,27344,36462,21125,53454,116316,149381,129051,79805,62762,50032,33260,134999,233631,269310,220151,114840,30182,66400,69759,35371,14025,34466,25988,9637,22373,19614,10585,13564,14358,11638,7331,9949,8632,4746,9160,5841,6217,8576,4333,6495,5076,2747,6346,4701,3909,6128,8782,4668,7030,14616,8250,9509,22948,19544,8740,41359,73523,85804,71843,44848,27658,30266,48124,66176,69608,52248,19262,13745,26622,16266,4734,16392,13204,1922,11567,15441,8215,6585,14575,9812,4210,13341,11690,2498,6558,9360,4741,5614,16097,21486,22133,19710,12729,4111,8214,10711,6791,4465,10611,9607,3760,9908,10884,4607,6188,10012,8232,3317,7621,11969,11770,9753,6248,190,6238,8337,6286,4282,7851,11311,12950,13529,11848,11218,13328,11265,5278,5175,7813,6369,2305,6753,6865,4568,10086,8481,3557,18728,31603,36573,29969,15778,8848,8898,9878,12651,8258,5252,9403,8387,5705,4596,6869,5224,5952,31.65
15018,10484,12191,13002,9605,9048,13265,13986,11853,14544,14729,7959,7802,12701,11559,6838,10744,15445,11894,8617,12690,9986,4429,10392,13402,8933,4362,12899,11966,6025,15402,17424,8344,7147,17878,17232,3695,22316,33261,20499,12696,51133,79647,85403,64233,28662,10818,9739,18065,59993,101404,120074,102319,55027,7922,37990,47686,31164,3616,23470,25896,9491,10551,19652,14881,3352,14606,18683,9075,9054,17430,13057,3918,11512,14464,8465,6538,14766,12848,6169,13033,14457,7724,6826,13307,12337,5459,12471,15876,9234,9154,15671,14148,10394,19830,27170,20491,2074,20617,33356,35025,28327,16586,5545,3217,1393,2130,2508,2492,4186,3764,3224,3872,4272,4097,4539,5369,5648,6564,6246,3840,3796,5905,6061,3628,6880,11250,9822,4018,3989,5365,3590,1549,3495,4722,4264,6002,6799,4355,3156,4231,3549,1432,2543,4397,3047,4599,8345,8617,6364,4855,4590,3833,3431,4265,2986,2617,5522,5320,3059,3484,4694,4315,4620,7555,7781,4129,4218,5748,3498,3396,7453,8722,8855,17563,27705,31144,26952,18513,9669,5708,5512,3349,3243,2656,1398,2717,1815,355,851,2302,2228,410,31.65
12485,17715,46980,65549,57994,32923,31277,42080,31595,13158,26639,37770,43456,47601,46898,54610,78008,92790,81697,52799,39239,38580,18630,14163,35381,30285,8007,24907,34661,50257,88577,114502,110774,99915,101986,89112,47661,10601,33674,57369,107637,159276,195158,232231,267439,272472,268777,308891,360721,382589,411048,474167,510900,469091,373785,282700,195542,82087,55308,136611,164710,168725,171626,147052,97598,97228,122210,112739,91948,79625,49953,22016,49922,60102,79416,120372,145143,158102,182693,193952,163231,106739,85122,140001,224448,292622,306140,255821,162130,58815,160165,351586,529404,656556,729546,754377,720041,615728,462082,302090,157767,24216,94615,162616,168561,134464,96438,65526,49803,68031,79627,80282,101052,125557,131464,134096,148230,156570,144763,120258,101339,95318,89484,72554,48240,30180,29933,45150,60751,63847,58155,63619,77728,82398,76225,71948,83107,101152,104418,88422,81378,98326,106795,100776,99832,92195,52428,13056,77213,125586,161519,177003,151839,105129,160214,303824,476216,658714,817499,915363,942163,910595,827041,688327,506908,319052,163277,74554,96813,123412,100397,37008,45360,117512,184521,237766,256858,233868,188457,147488,109225,68991,78366,123811,152241,159183,160772,166638,164148,138031,95674,72504,79308,31.65
17126,25466,12320,14951,27656,17942,7901,24759,20865,1284,22289,23140,2136,25030,31314,10917,19761,31949,15533,18521,36802,24996,10928,38057,33911,2790,37237,40508,5959,38796,51262,18303,34153,59158,30431,33514,75079,49515,35609,105568,82140,57762,242548,352706,301525,110619,107794,169784,23332,328062,652459,788684,663605,358326,109249,202806,190763,61760,67589,105312,49545,34000,73065,45220,15339,53955,42696,3441,41257,41451,7850,28273,35269,11346,20625,31490,15362,12338,27072,18690,4445,21555,19737,3864,13330,14450,6087,11899,13319,5282,8725,16221,17004,44068,97463,147483,161118,118182,33536,73953,129259,124662,77973,40969,39989,23745,8211,28668,22754,2514,22282,21830,5063,15678,18483,5737,10465,16155,8320,6367,13027,8744,1849,6877,6694,9005,25045,51389,72302,70699,42313,6646,31081,32971,10401,20363,29345,14479,14701,26777,16892,10024,25991,22351,7421,22024,23676,14233,29015,34310,17201,16450,29691,18229,10100,31598,26042,10706,53518,80380,76455,50329,23982,13313,18710,25486,19681,1804,18123,23995,18618,21961,21391,34456,84931,131569,146667,123973,78952,39001,27937,26259,18420,10981,8271,12843,13830,6112,7590,12400,5682,9409,22667,31.65
12085,4386,13215,13369,5236,12410,13986,3451,12472,18171,9260,8417,18048,12298,4373,16730,13846,2215,17389,18082,3200,14643,19328,6186,13904,22098,10083,13160,25954,15652,10906,30699,24398,6206,36345,38160,4114,42732,62930,29688,50691,142935,207940,227805,210568,173414,121973,43072,85929,253039,412000,490904,441603,278744,91626,108355,139372,76273,23660,78219,63444,11666,52000,55545,16668,34293,48857,24516,21554,40926,26652,13015,35009,29162,10316,29366,29972,10945,23149,29131,14601,19062,27712,16161,15702,27118,19071,12334,24355,18963,12824,27854,24237,10017,37186,52450,44843,25875,17335,38820,70904,88991,76595,37903,4768,25655,18029,5707,21579,17702,6982,20119,19856,8417,16299,18854,9376,15249,20459,12477,12431,19701,15395,13038,19760,19216,21391,29285,26682,12953,12151,16011,6387,9372,16723,9942,5933,15770,12581,3065,13678,14011,5290,12874,15600,6184,9128,14502,6839,11838,22498,19687,8324,13530,16203,8445,11269,15821,9518,9928,17099,13155,6954,15408,15182,5115,12945,17656,8942,11613,22901,18464,2419,26628,41379,40823,37592,45579,49115,35720,11354,14587,20924,10640,9151,18804,14328,3348,13451,13995,5173,11427,15146,31.65
18565,41614,37920,19240,45376,51834,19320,33296,54973,37267,20608,46965,47188,21975,44264,59413,32191,33863,59694,40897,28609,63379,60055,21123,57343,80860,44582,44803,91641,69359,32532,102399,111120,39502,88751,148660,92804,85140,219569,201067,74192,450812,829002,1015460,935408,666089,382197,216985,350538,712110,1029370,1112667,904888,527606,314108,400822,377941,202656,58193,150205,136521,50342,90794,111913,55596,42278,86764,70213,26118,64711,75453,34173,47880,79649,55020,16722,61013,61761,13900,52943,80261,42747,37681,97282,83930,1580,97078,128119,56247,98600,213057,187145,92841,412535,742155,904243,828449,563003,248744,86036,99761,29924,78311,121978,80062,24694,86004,87144,27277,41405,63994,28396,30483,62363,45185,6321,45819,45393,10847,48419,58533,17906,42946,71659,37500,50682,147825,204239,192297,125201,46313,6013,16883,6076,7266,12229,8739,9997,14041,12810,10446,18462,27531,18482,14448,38953,33865,7704,57065,78715,54929,47992,86611,69440,32727,120630,135353,115628,347500,631144,790030,730172,472768,150535,134797,209748,147999,93872,124982,101078,77242,118759,104205,59722,133402,182988,158674,102488,82875,65916,26304,62276,77748,45408,48092,75668,57774,19061,46560,50225,19993,30370,33598,31.65
