808hz,812hz,816hz,820hz,824hz,828hz,832hz,835hz,839hz,843hz,847hz,851hz,855hz,859hz,863hz,867hz,871hz,875hz,878hz,882hz,886hz,890hz,894hz,898hz,902hz,906hz,910hz,914hz,917hz,921hz,925hz,929hz,933hz,937hz,941hz,945hz,949hz,953hz,957hz,960hz,964hz,968hz,972hz,976hz,980hz,984hz,988hz,992hz,996hz,1000hz,1003hz,1007hz,1011hz,1015hz,1019hz,1023hz,1027hz,1031hz,1035hz,1039hz,1042hz,1046hz,1050hz,1054hz,1058hz,1062hz,1066hz,1070hz,1074hz,1078hz,1082hz,1085hz,1089hz,1093hz,1097hz,1101hz,1105hz,1109hz,1113hz,1117hz,1121hz,1125hz,1128hz,1132hz,1136hz,1140hz,1144hz,1148hz,1152hz,1156hz,1160hz,1164hz,1167hz,1171hz,1175hz,1179hz,1183hz,1187hz,1191hz,1195hz,1199hz,1203hz,1207hz,1210hz,1214hz,1218hz,1222hz,1226hz,1230hz,1234hz,1238hz,1242hz,1246hz,1250hz,1253hz,1257hz,1261hz,1265hz,1269hz,1273hz,1277hz,1281hz,1285hz,1289hz,1292hz,1296hz,1300hz,1304hz,1308hz,1312hz,1316hz,1320hz,1324hz,1328hz,1332hz,1335hz,1339hz,1343hz,1347hz,1351hz,1355hz,1359hz,1363hz,1367hz,1371hz,1375hz,1378hz,1382hz,1386hz,1390hz,1394hz,1398hz,1402hz,1406hz,1410hz,1414hz,1417hz,1421hz,1425hz,1429hz,1433hz,1437hz,1441hz,1445hz,1449hz,1453hz,1457hz,1460hz,1464hz,1468hz,1472hz,1476hz,1480hz,1484hz,1488hz,1492hz,1496hz,1500hz,1503hz,1507hz,1511hz,1515hz,1519hz,1523hz,1527hz,1531hz,1535hz,1539hz,1542hz,1546hz,1550hz,1554hz,1558hz,weight
19075,9901,5915,12483,12577,7579,7293,7605,2984,10142,17478,17345,9702,6081,13630,15800,12231,7877,9242,12835,12884,8419,7984,13447,12932,4615,9516,17307,15623,8145,10339,13791,11047,10619,16002,17534,13021,5621,2937,6546,8127,10086,14734,18182,16451,10511,8777,11112,11100,16265,25491,31600,32129,26588,16296,8895,12491,12749,6281,7777,12516,7654,4732,15392,17959,13554,10170,10193,8964,7455,4534,4239,15219,20458,13893,4619,14547,15219,13549,17990,8825,23034,66710,101980,111472,96622,80929,85445,106498,135989,155214,141312,89117,19117,39873,57379,35981,14151,33588,29341,9896,29284,37829,26072,21421,31380,25835,10397,20865,25516,17257,20825,28101,21027,21096,39407,42237,20742,17580,43009,39420,16927,52931,74107,41041,68752,196518,302892,336953,282159,164266,40341,59450,79829,45329,10722,50500,51568,11214,59764,140123,204657,230317,207662,146966,74894,32911,42493,43016,32435,24938,18770,11316,16892,22578,17651,7396,15497,22234,18724,11531,12845,14890,15390,18972,20216,15611,12166,15405,16668,16321,18294,18695,16062,14850,15203,14816,15369,14534,8140,2208,9946,9751,5653,11454,14111,8756,708,6955,11133,19714,29399,32440,19.2
128101,89210,41413,75122,109810,114267,103686,97990,103784,115282,120393,109643,80779,35764,17373,56948,60948,41816,92995,159074,184057,164770,139998,133838,116188,80715,68756,75049,69765,86758,119671,128133,113349,108131,114076,100383,68548,65693,79630,63068,62410,114642,131479,78471,52298,139122,155371,109859,193305,321996,354606,265469,118678,79762,108603,88686,85268,61167,34232,134819,151080,30235,174286,304897,215456,310891,905051,1462336,1700175,1490220,921532,255878,224576,349465,173376,134840,306040,276516,132145,171561,206052,97356,97365,207719,188055,83300,104434,136769,80269,76177,139225,131904,68572,11080,24543,65354,102521,90181,44087,95121,140134,116024,62275,125350,189514,173665,68213,87048,209800,226412,119872,86186,222048,242539,133736,73070,174153,160593,69723,182300,287145,255114,83586,352265,797812,1176855,1336974,1212174,875098,504910,257920,126063,145071,201383,190284,424519,781393,994631,932034,623496,230852,64368,147958,62497,90492,168940,143032,54695,21193,45972,88804,142914,141351,69523,38472,108099,108588,52955,62498,104852,95018,72810,113259,149740,139388,88530,21769,44381,86835,92874,58317,36168,79213,90272,60466,43584,53334,34060,55066,97226,90733,34095,32702,65909,86895,143425,178941,142005,66626,110893,157205,145079,117528,28.3
29498,22824,16669,27589,23929,9471,22786,26939,13819,19576,28442,17957,15544,27793,21763,11922,25464,25119,11894,23398,28880,15521,19679,30209,18997,10864,27348,23171,7498,25142,28102,11352,21741,30892,15877,16739,33465,25438,6089,26358,27098,4682,22343,30508,12033,17725,32872,21140,22396,47204,52041,45566,48704,43232,13915,24439,42294,24789,16074,48282,46023,7402,45883,75306,51242,35018,162569,288272,362122,351122,259703,135144,82928,147637,218935,267834,262654,190973,83098,25717,51965,28499,15087,37178,22306,11505,31476,20301,11798,34296,27338,7147,31429,29476,3266,30000,33579,6354,28948,40709,16692,24813,47077,28982,17384,49921,40065,30704,78599,90467,56433,52044,73165,42955,37158,82043,59933,28206,103201,99227,5321,136495,177629,34838,282230,646129,882190,870167,617615,253865,53151,178675,127079,11125,118680,141173,124235,145424,150919,97333,13680,47830,54222,18039,30099,43877,24053,17161,34327,26105,10626,28681,30906,12956,13971,24920,17998,7974,15691,13830,6414,16735,19986,11347,12723,20525,15689,4014,10142,8521,7904,23609,30869,23621,8053,9714,11199,6120,14419,16818,7140,9074,18299,14388,6965,17888,18782,11345,24023,30530,15583,14972,35601,28.3
21871,25679,28412,22274,22303,27995,25002,22026,27698,27211,22124,25705,27035,22594,26260,29709,24039,23317,28876,25070,21603,29355,28484,20008,25587,29076,20393,21648,29202,23280,18794,28476,26984,19858,29104,31333,20883,25673,32859,23651,21019,32520,28086,19459,32949,34777,21278,30933,44325,40753,33736,30554,18700,22525,35761,26842,20136,40838,36986,17371,45525,51752,19057,50016,75409,33110,82308,201407,261326,224037,114684,40443,73965,70576,139173,227462,248365,186291,81452,17856,46453,30132,7155,23476,16507,10610,18196,10891,13009,19413,8938,10924,20995,12553,7280,21051,16460,5279,21547,20935,6093,22581,27203,11457,19725,29931,17582,28780,53195,50653,20998,19574,32244,13391,21471,39630,23499,21994,52123,41660,21706,78606,88843,35805,163078,336738,448315,444862,331966,171089,68887,85828,70231,27085,34695,36275,23496,45325,54634,34623,15001,33126,31604,13301,21476,28504,18114,14325,23374,19246,11700,19956,20707,12076,14386,18479,13924,13619,17576,14282,13662,19233,15652,7013,17700,22202,14894,14130,22111,19416,11589,18329,20191,8825,12566,23231,18759,7077,18252,22166,12941,12856,19476,11857,9194,22392,19397,7420,24627,30118,14769,19646,37332,28.3
16997,21418,25204,23479,17262,16144,22305,24865,21475,17653,18230,19645,21057,23293,22875,20406,21354,22690,21068,20915,22394,21581,21710,24024,22746,21452,25592,25457,20573,23429,26469,21730,22576,29748,27168,22477,30801,32208,24637,29542,32847,24136,30303,39756,29859,31926,49587,38927,55234,118656,147228,110279,26173,53858,75647,29925,49827,86587,48150,52052,118031,92317,41969,169672,190513,39643,339431,714379,934340,881221,578880,187696,160098,242168,134230,165688,322307,342785,228135,78453,82671,97300,53124,57288,77129,53572,42664,62043,53977,38622,52148,56275,38397,39532,56065,46741,31767,49317,54432,37718,40073,57523,47721,28542,52749,57062,23508,36824,88021,127250,146233,126864,63156,68777,131725,114425,47675,140033,178059,86930,140635,283588,232375,122438,602928,1061335,1256839,1085266,627000,105418,279119,371912,233305,61004,153138,178177,202071,272329,286045,220476,143515,107828,68938,61478,92481,74720,34061,67424,74424,32973,40854,69153,46355,21395,58728,52972,12401,44919,55200,21732,30401,57417,39311,9885,49220,45267,4090,52631,68641,34385,28346,76563,78344,35236,18815,41249,18669,26600,53750,38639,8820,52145,55859,13456,44993,72036,41252,36894,106354,129966,105048,79491,70508,28.3
9916,4086,4883,6280,4779,569,6311,9259,4432,6776,10169,5307,2406,6794,7837,4242,5295,11942,9320,3411,10303,9841,3282,4480,10385,10191,4430,11246,13353,5950,6830,10968,8058,575,10537,14778,8079,10188,17597,12104,4981,15914,18280,8705,13135,26615,20781,11450,43354,63950,61946,40561,13701,14226,14301,10651,22719,21750,12085,24412,30935,20359,29839,53577,47970,38346,111805,187662,219186,188345,107964,31302,46004,22008,90142,209861,293765,301692,229026,108657,32183,80734,73476,25927,35755,55619,37517,14612,43955,45760,16892,25371,42549,30112,5066,33080,40211,18026,20787,42380,32659,722,33404,43605,23254,17417,52594,57691,31150,7530,18944,2775,31639,55241,44831,5963,59657,79591,38974,44712,112786,111001,21000,154378,310961,374714,312996,203232,234310,315244,297596,175938,21729,90552,98094,26716,72139,121759,102625,33756,41747,69238,42108,15518,49805,46508,14164,29289,44595,27095,13243,37325,32058,8448,27663,34526,19622,13529,29545,24961,7493,25667,28507,11465,14846,24849,19292,13585,25795,26569,9500,13316,20697,15900,22297,27040,19044,12588,24518,25277,10919,24201,33275,20652,16669,30241,27111,10769,25471,42914,50954,60710,57505,28.3
12885,12601,10900,11090,11829,11437,12387,13318,11448,9895,11014,10979,10144,10968,11170,9735,10551,12395,11494,10395,11178,10750,10199,11467,11543,10186,11129,12251,10699,10825,12590,10881,8872,10819,10749,8402,10414,12446,10017,10024,12953,10554,8146,12016,10875,5066,10482,12969,5906,17641,33562,36713,26629,17858,19450,17267,15932,20694,19480,17295,25011,25481,19807,31991,37474,23176,54372,108668,135874,114736,57991,40861,55810,14209,79176,182935,247835,242765,171730,72353,24820,53132,40825,11869,26091,29609,13706,14245,22275,13796,7562,16877,14167,3230,10951,14084,7012,5608,11941,8630,1448,7995,7623,2261,4909,7208,4931,4026,8226,8259,3930,2092,7335,10107,6118,5001,14752,15069,5974,16874,27827,24990,23782,56257,107087,170910,237347,281850,279027,220905,125448,33037,41448,52004,27768,16464,27676,17294,10848,26547,24310,6114,16727,23444,12729,10262,20258,15777,5855,15332,16635,6703,10628,16591,10342,7301,15070,12246,4591,12148,13426,6093,9116,13991,9010,6015,12499,9427,2672,12424,14128,7297,3773,7055,2361,6813,11777,7193,3672,11333,9157,1803,10187,10870,2537,8384,13054,7434,4178,11511,17174,28074,31296,28.3
7782,3788,6587,7823,5982,7315,8807,6254,4294,7650,7175,3990,5959,6072,3177,4677,5444,2206,3254,6976,5941,2151,5191,5177,1711,4389,4826,1483,2912,5524,4555,579,3723,3807,275,4629,6043,4230,482,3689,5383,2868,3808,6095,3860,6855,10624,7630,19292,42162,55592,47656,20705,9426,23667,15944,10356,23563,16357,10293,34417,30750,9231,52282,61911,18259,115472,242807,319037,301554,197787,67740,58298,75294,28266,49188,92885,84022,35446,17266,37162,21068,11143,29233,22103,6550,21891,21247,5635,16789,21406,10278,11624,17780,9230,7894,16269,11529,6073,14446,12240,3274,11778,10632,5764,14092,8910,21736,51553,66201,54044,21888,10657,21554,10807,17961,23622,6201,24736,35813,11386,37095,65744,26237,113348,316799,514475,619085,577874,403561,170470,42142,120306,81204,39125,166124,235652,224791,154834,69598,7263,18776,15503,3330,6480,5269,2587,6693,8059,6498,7274,11240,11427,6537,7091,11147,8234,4795,10793,10354,4727,9247,10705,3899,6431,10725,4551,8781,18987,16845,2978,15879,25190,23856,21313,21274,14446,8973,19212,18652,7054,18812,25619,15351,13153,25855,20354,3083,26708,38006,49681,71788,73729,28.3
37104,36403,53043,54002,30070,27143,39462,26062,7094,8443,8645,31138,48354,45761,41919,72980,88160,72541,77249,99728,97031,79084,76848,88844,82250,53033,50610,61346,44343,17795,18556,26227,34044,37348,31523,46681,74266,75363,62243,79695,94363,84701,71666,73720,77773,62882,36449,37156,41269,31568,23565,29814,42106,45370,37799,30940,40176,37669,26556,61808,84758,104558,153520,197615,227228,271508,331319,362886,334047,302524,355424,412750,405866,375166,365126,344602,275408,182807,153446,160060,119391,50180,8607,12129,46246,83161,93502,73695,61496,79465,88879,81297,69883,83365,117826,138707,131768,119603,137238,148096,116777,81085,87842,79391,40294,36157,60158,52779,37240,65562,81279,62798,34295,48529,80802,98945,92193,84393,123707,163000,149452,112160,150775,193963,161136,51035,93568,213290,260073,221453,125769,40529,93050,141774,155571,152622,165531,188072,189017,176535,178935,186424,181038,162035,136247,117024,100060,72000,42819,26022,20332,24223,29748,30152,20750,14282,13125,25346,50914,70022,86791,103541,117004,127397,127086,118422,111170,95295,68309,44064,23024,18629,39851,60872,73703,82309,93199,91774,78918,73845,66646,56000,60612,72088,80513,86748,97493,99527,86324,85669,82701,50010,54570,28.3
6671,8336,11664,10214,7201,10151,10922,9707,11886,11909,8609,9810,12261,9943,8566,12061,11679,10944,14448,13652,9498,12016,13920,11264,12773,16142,13561,12561,17222,15540,11501,16428,17490,12853,15629,19143,15078,15492,21662,19257,16664,23962,23447,16041,23481,29868,23109,24926,45755,58916,54709,34554,15046,31224,39346,26861,23613,40775,38336,30153,51423,56874,44074,72540,91065,71712,151308,286862,360461,316724,174106,32125,74067,59355,174776,331878,400007,337381,182334,35651,82594,79057,24994,44073,52778,22958,25778,38526,20961,14884,29744,19848,8800,22129,15527,5179,18123,13556,3282,16536,14913,4932,13667,11887,10664,19017,9152,36680,75222,87020,62747,23741,24700,26655,23055,36308,33424,34453,55486,50083,48747,92951,97810,102912,269215,475163,608596,609794,486501,300261,129015,78711,116745,100001,61445,151381,242371,255554,183076,70563,36050,63207,38456,23685,43222,32185,18997,35217,31533,18578,28418,28488,16936,22808,25940,16302,19199,25109,18402,18859,25676,20137,14344,20188,17252,10698,16372,14568,12004,24448,25890,10701,14051,27140,26535,23071,23502,19071,18239,23693,18788,15498,28292,29087,18377,22667,25065,12205,22605,35072,28110,26183,37854,28.3
