@relation 'AT: propanedata-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R194-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.106847hz-0.105851hz-0.103816hz-0.103820hz-0.1021480hz... numeric
@attribute -0.151019hz-0.1411250hz-0.141253hz-0.1351031hz-0.1321027hz... numeric
@attribute 0.128976hz-0.1281324hz-0.1241078hz+0.123972hz-0.1211066hz... numeric
@attribute '0.158898hz+0.154902hz+0.15 894hz+0.148910hz+0.147906hz...' numeric
@attribute -0.1751210hz-0.1681214hz-0.1571207hz+0.1481449hz-0.148988hz... numeric
@attribute -0.2061378hz-0.2051375hz-0.2021382hz-0.1791386hz-0.1651167hz... numeric
@attribute 0.245972hz+0.225968hz+0.204960hz+0.196976hz+0.1891000hz... numeric
@attribute -0.2181148hz-0.2021152hz+0.1961277hz+0.1951281hz-0.1911144hz... numeric
@attribute -0.211339hz-0.1881343hz-0.171535hz-0.1681531hz-0.1621335hz... numeric
@attribute '-0.2191023hz-0.2041027hz+0.19 1042hz-0.1841062hz+0.1831039hz...' numeric
@attribute 0.1791015hz+0.1771011hz-0.174968hz-0.169972hz+0.1681535hz... numeric
@attribute -0.191121hz-0.1851117hz-0.1781125hz-0.1671128hz-0.148824hz... numeric
@attribute -0.223890hz-0.206894hz-0.205886hz-0.2031304hz-0.1961300hz... numeric
@attribute 0.1911421hz+0.1871128hz+0.1791417hz-0.1761328hz+0.1731125hz... numeric
@attribute 0.223929hz+0.2091308hz+0.207925hz+0.2031312hz-0.198902hz... numeric
@attribute 0.257933hz+0.255937hz+0.203929hz+0.198941hz-0.178910hz... numeric
@attribute -0.1861332hz-0.1831121hz-0.1791335hz-0.1761328hz+0.1661304hz... numeric
@attribute -0.2081070hz+0.1931285hz-0.1781066hz+0.1731316hz-0.1721238hz... numeric
@attribute -0.2441351hz+0.2411140hz+0.2381136hz+0.2081132hz-0.1991355hz... numeric
@attribute 0.2111492hz-0.1931421hz+0.1871488hz-0.1851425hz+0.1811289hz... numeric
@attribute -0.2821105hz-0.2431101hz-0.2391109hz+0.1691281hz+0.1611335hz... numeric
@attribute 0.2531085hz+0.2381089hz+0.1891082hz+0.1791468hz+0.1641464hz... numeric
@attribute 0.2251546hz+0.1991542hz-0.1941320hz-0.1631093hz+0.1591347hz... numeric
@attribute -0.2161531hz-0.197964hz-0.1911527hz+0.1871097hz+0.1721179hz... numeric
@attribute -0.2161226hz-0.191230hz-0.181238hz-0.1751437hz-0.1751441hz... numeric
@attribute '-0.202964hz+0.19 1074hz-0.1871089hz+0.1871183hz+0.1531179hz...' numeric
@attribute '0.3  953hz+0.263957hz+0.248949hz-0.236925hz-0.222929hz...' numeric
@attribute 0.2131363hz+0.1941367hz-0.1731351hz-0.1641347hz-0.1481250hz... numeric
@attribute -0.2341523hz-0.1861519hz+0.1831546hz-0.1661097hz-0.161101hz... numeric
@attribute -0.214890hz+0.207949hz-0.186917hz-0.178921hz+0.174933hz... numeric
@attribute -0.2361152hz+0.2051183hz-0.1961156hz-0.1781148hz+0.175875hz... numeric
@attribute '-0.2221515hz-0.2111519hz+0.2  1144hz+0.183839hz+0.1821480hz...' numeric
@attribute '-0.2241437hz-0.1921558hz-0.191859hz-0.1821554hz+0.18 878hz...' numeric
@attribute -0.2311246hz-0.2211250hz-0.191253hz-0.1871093hz+0.1731324hz... numeric
@attribute 0.195953hz+0.193949hz-0.173976hz-0.1651039hz-0.162972hz... numeric
@attribute -0.2111140hz+0.208882hz+0.205988hz+0.204878hz-0.1821214hz... numeric
@attribute -0.2491113hz+0.2161144hz+0.1971121hz-0.1821179hz+0.169914hz... numeric
@attribute 0.2651394hz+0.2141406hz-0.181144hz-0.1561101hz+0.1551320hz... numeric
@attribute 0.277843hz+0.274839hz+0.236847hz-0.204832hz+0.196851hz... numeric
@attribute -0.231410hz+0.2291347hz-0.1791250hz+0.1711523hz-0.1691406hz... numeric
@attribute 0.2421171hz-0.187851hz-0.1831191hz+0.1661312hz+0.1641453hz... numeric
@attribute -0.2731171hz-0.241390hz-0.2171367hz-0.1811199hz+0.1771179hz... numeric
@attribute '-0.246957hz-0.225878hz+0.16 1191hz+0.16 843hz-0.1531074hz...' numeric
@attribute -0.1991343hz-0.176855hz+0.1751527hz-0.1721515hz+0.172863hz... numeric
@attribute 0.226855hz-0.225808hz+0.2041390hz+0.188851hz-0.186957hz... numeric
@attribute '0.2141175hz+0.2  1203hz-0.18925hz-0.1581062hz-0.1491066hz...' numeric
@attribute -0.2741113hz+0.196945hz-0.188910hz-0.184914hz+0.173871hz... numeric
@attribute 0.1831066hz-0.1751406hz-0.1711351hz+0.1711117hz+0.163859hz... numeric
@attribute -0.2161265hz+0.1881480hz+0.1821476hz+0.1761390hz+0.1611343hz... numeric
@attribute 0.2141203hz-0.192996hz-0.189867hz+0.1821246hz+0.1781242hz... numeric
@attribute 0.211878hz+0.1991281hz-0.1981117hz-0.1791523hz-0.164843hz... numeric
@attribute weight numeric

@data
5.714327,1.054621,-1.061153,-0.975938,-0.135955,0.74649,-0.601459,-0.462435,-0.01352,0.175816,-0.400211,0.74563,-0.716098,0.372761,1.442122,-0.539761,0.734001,0.335755,0.135689,0.438841,0.226201,-0.046613,0.052169,0.57942,-0.255713,-0.004757,-0.189522,-0.54527,0.268449,0.333874,-0.00392,-0.234799,-0.116434,0.180999,-0.143763,0.024841,0.22726,-0.444021,0.149078,0.002907,0.519836,0.045846,0.174416,0.191064,0.125391,-0.063593,0.306179,-0.19533,0.577995,-0.056812,0.154644,19.2
-13.120967,-3.098929,-7.921771,9.576014,-9.527782,2.065265,3.99476,5.309776,-1.706858,1.088484,-1.846883,0.944563,-5.694567,-0.335898,0.922902,1.854771,5.598426,-5.952772,-0.085527,4.261242,2.683885,1.436283,3.060935,-4.401149,2.034533,7.572385,-2.591592,-1.028183,-1.238919,-1.461248,-1.808043,0.626622,-0.545447,-2.627713,3.386347,0.463794,1.747821,0.797137,0.633612,1.231634,-0.35983,-0.958132,-1.535663,-0.854551,0.439816,0.455199,-0.288148,1.391373,1.21455,0.494914,-0.523301,28.3
2.356322,0.371472,-4.096406,2.010407,-3.188485,1.630897,0.817947,2.359534,-0.797177,-0.892525,-0.484362,0.51835,-2.915794,1.324652,1.803225,-1.499322,2.089238,-1.66671,-0.70239,0.6745,-0.548674,-0.018273,0.196349,0.120679,0.036923,1.245582,-0.318916,-1.032003,-0.585467,0.760057,-0.936904,0.580554,0.120055,0.24948,-0.186325,0.218687,0.122442,0.309683,0.228924,-0.452092,0.143911,0.074913,0.184755,0.214705,-0.71576,0.659181,0.800361,-0.210274,0.067249,-0.513105,-0.178236,28.3
3.589554,-0.053623,-1.530065,1.698481,-1.582345,1.085165,0.106398,1.342351,-0.520189,-0.570207,-0.496505,-0.398866,-1.452733,0.861514,1.108064,-0.939549,1.463638,-0.8811,-0.4929,0.394473,-0.932434,-0.17599,-0.006106,0.091241,-0.27223,0.639687,0.120292,-0.386935,-0.317558,0.581095,-0.567093,0.190281,0.088832,0.436184,-0.027351,0.125413,0.131718,0.046772,0.308376,0.064468,0.011086,-0.180639,-0.200408,0.161889,-0.411591,0.394034,0.343587,0.13305,-0.276536,-0.520738,0.092684,28.3
-1.876382,-0.54043,-8.015493,2.730598,-5.100812,2.513733,2.50587,5.235686,-0.112763,-0.63027,-0.515259,1.560812,-3.686743,1.131318,1.728824,-1.154579,3.035482,-2.647865,-1.140724,2.099152,-0.214166,1.528273,0.913849,-1.448561,0.587271,3.586162,-0.937009,-0.630785,-0.391075,0.398916,-1.28789,1.027526,0.332934,0.752341,0.506074,-0.274952,0.821968,1.887598,0.205379,-0.213773,-1.038522,-0.257154,-0.744665,-0.988497,-0.311591,1.074883,0.145468,0.39063,-0.997332,-0.225728,-0.166699,28.3
4.171685,0.565983,-3.259208,-0.134096,-1.697893,1.502036,0.49199,1.981129,-0.487215,-0.899935,0.088278,0.325106,-1.348083,0.769206,1.071518,-0.871584,0.294642,-0.113168,-0.79947,0.357405,-1.167427,-0.343601,-0.35433,-0.271178,-0.285749,1.253068,0.166185,-0.625039,0.046231,0.264925,0.266762,0.587549,-0.137546,0.950502,0.085616,-0.426027,0.150869,-0.18737,-0.076456,0.513661,0.176147,-0.682839,-0.332468,-0.747139,-0.234978,-0.1707,-0.509136,0.548665,-0.610934,0.396634,0.104862,28.3
5.874704,0.655895,-1.606464,0.436527,-0.859102,1.243569,0.157367,0.844549,-0.583345,-0.735142,0.001128,-0.483565,-0.9517,0.773335,0.769186,-0.657571,0.851304,-0.098374,-0.544814,-0.137604,-1.316849,-0.356976,-0.232892,0.138363,-0.352871,0.471169,-0.069098,-0.583319,0.167474,0.453693,-0.014673,0.193913,0.040788,0.713632,0.166689,-0.05896,-0.144216,-0.289512,0.257133,0.24728,0.259481,-0.430203,-0.008827,-0.04037,-0.409331,0.199172,-0.096072,0.265476,-0.232607,0.196538,0.157945,28.3
5.153871,0.383083,-3.614007,-0.10068,-1.924908,2.225252,0.529521,0.897526,-0.740375,-0.408393,-0.477895,1.266947,-2.002835,0.453152,1.24406,-0.719042,1.622835,-0.915865,0.065187,0.296647,0.002633,0.596423,0.556977,0.00389,-0.06328,1.82864,-0.861874,-0.881559,0.177611,0.458302,-0.349491,-0.042879,-0.111004,0.058795,0.445226,0.564387,0.768441,-0.071578,0.161023,0.430655,0.939989,-0.093646,0.085316,-0.135158,-0.259686,0.541434,0.59695,0.259848,0.907286,-0.4606,-0.202073,28.3
-3.108631,-1.390615,-2.213458,3.656793,-3.810603,0.982125,0.564813,1.837184,0.436865,-0.431959,-0.128801,0.120806,-0.399386,-0.182211,-2.460217,-0.660472,0.900007,-0.136578,-1.550081,0.183244,-2.068065,0.613988,0.359348,-0.674426,1.325311,-1.69643,0.495594,1.22789,-0.338291,1.028084,1.178349,-1.479683,0.586354,-0.571145,0.077528,-0.222914,-0.423974,-0.872807,-1.683923,-0.088041,0.066039,1.238687,-0.563734,0.611749,0.89563,-0.895095,0.370517,0.279078,0.169955,0.03913,-0.159356,28.3
3.217236,0.542451,-4.14337,1.119829,-2.761663,1.812145,1.408843,2.068223,-1.305432,-1.758566,0.085401,0.314275,-2.471588,1.119149,0.944065,-0.792165,1.264747,-1.418048,-1.040869,0.293782,-1.144537,-0.590995,0.377231,0.071708,-0.280267,1.592375,0.125742,-0.678761,-0.542144,0.92561,-0.27525,0.473594,-0.273638,0.587026,0.22651,0.356796,-0.006702,-0.090205,0.246506,0.439879,0.268434,-0.597821,-0.143027,-0.381978,-0.695924,0.66881,0.268609,0.541194,-0.160468,-0.223368,0.042481,28.3
