941hz,945hz,949hz,964hz,968hz,1093hz,1113hz,1132hz,1144hz,1148hz,1285hz,1363hz,1437hz,1500hz,1507hz,1519hz,1527hz,1535hz,weight
31290,66713,159561,98851,26878,73890,30320,38997,7288,35496,41148,222478,31987,43883,23010,57306,83238,94909,33.5
106002,114877,140846,323539,184287,280575,85324,88411,14396,69920,10001,157807,51576,67131,70874,67484,148028,189094,33.5
63370,70999,54573,165419,102267,27561,16567,16290,33381,20588,85399,475629,14245,37487,38657,41271,77766,88914,33.5
48754,58154,54881,94174,105126,82710,34479,47023,64291,90829,92890,59849,288016,159837,157819,186795,186894,163207,31.4
86423,62902,57048,120944,104335,17714,94529,26925,36872,16985,25533,65395,63083,21575,88229,35478,270530,557613,31.4
30200,17969,7820,28439,31955,17509,45565,23419,14126,12607,20447,30210,6545,78130,76682,69088,59245,170418,31.4
14034,8682,2411,2089,13047,7227,5341,10688,12240,11052,13225,9887,8993,33830,11858,15521,19906,48836,31.4
15783,14915,14887,12505,12340,12033,6300,11338,16708,11243,16302,16326,13174,28169,2672,13722,9423,30344,31.4
146305,137733,76654,65655,123396,61877,66251,135940,131181,105010,71821,209678,344868,376737,252197,124009,89709,97841,31.4
30184,29168,25524,29372,46714,28607,102915,11753,13665,36338,17674,20796,47975,93493,20900,137961,194145,212347,31.4
22177,11769,15888,27003,27183,10810,47846,11574,28700,5960,29635,36825,5065,102310,26785,73089,108205,132349,31.4
73250,127451,125011,119671,118258,27198,155592,16186,38899,56999,40299,29802,29854,326933,62053,224273,174963,87043,31.4
15760,49095,52401,45539,28833,16293,57911,29374,28076,63837,10215,17528,62281,101396,75978,10206,86634,171748,31.4
17900,7857,18492,23216,21358,11951,64958,19547,22739,17530,17584,18945,20360,93874,26155,66033,72304,67840,31.4
194416,178855,92444,108373,175519,115303,388421,216682,193061,120762,112100,172044,117727,113493,196665,185423,63566,122349,31.4
114678,57471,112659,181424,145757,37139,161828,54770,44597,55754,46246,38145,79762,327865,152321,239178,342128,425984,31.4
112004,68731,122554,147380,54213,60161,115012,60199,45273,59347,41116,21984,199345,146462,62453,39311,199134,316452,31.4
27856,47721,46734,47676,49337,37544,21363,22652,15664,19058,20797,21545,24269,187856,28144,135034,97877,71699,31.4
9591,23987,39452,34482,1218,32132,72447,24671,8342,7642,6431,11339,58815,142332,55392,146574,206447,275832,31.4
7460,9456,14723,16517,7354,10375,20745,4213,20202,11648,22393,26781,9728,8551,52467,24191,95780,165549,31.4
72031,81163,91879,100158,99057,86024,62943,68869,41426,79580,56852,85410,64638,28345,36540,48655,51100,53879,31.4
132690,120235,115899,128567,127018,140094,108814,122885,59115,121500,91851,77259,76591,46294,57617,92045,91749,84964,31.4
533078,246199,376287,1473052,1273464,847837,234812,106105,85158,217421,72149,58808,109051,59698,17134,99238,59429,57295,23.500099
77462,78444,14561,744998,577172,290406,61505,25064,26223,112227,26781,22157,30771,11185,23682,1868,20994,20782,23.500099
109210,113783,16216,563507,395846,131573,19020,12609,12378,41928,6230,10318,28930,17497,7464,16929,13083,11096,23.500099
109669,107708,10064,508713,414728,44399,29176,21936,17297,31737,17923,14855,4324,15515,17150,21342,10173,23429,23.500099
69372,78178,26981,362227,277268,7710,18376,8429,19442,25181,13486,16034,7472,15550,10451,21941,18179,14854,23.500099
833037,591591,353714,1983486,1892095,949372,151084,127531,36851,76296,31980,31814,125185,61190,42567,65296,64067,36509,23.500099
49688,32676,137747,432776,413625,235299,96478,69378,15666,186751,22023,19917,3610,12530,31740,1979,27150,38855,23.500099
121011,123953,25841,594356,449474,65088,19027,11992,15298,17598,13096,10945,29746,16298,12331,26679,12816,26331,23.500099
59520,68985,62560,24844,24274,21063,4578,2034,18523,9763,58030,18317,7105,30187,24448,73135,101461,118818,34.5
77071,66719,44031,3592,2014,2865,7384,6754,19578,3209,29644,19320,9015,12708,9379,23256,33692,35522,34.5
146939,120515,72769,24857,48477,5859,5412,13182,8433,7467,62940,5810,18990,43345,28409,131735,196084,201770,34.5
47971,61337,60766,21982,22503,16333,12810,12074,17933,20044,30573,22315,4378,30010,24554,51743,57161,42107,34.5
326159,346881,272442,74074,17674,41854,53578,23805,63334,70603,298952,125656,109140,57023,132140,206448,208539,198402,34.5
199757,220507,172436,40163,12304,3262,5961,5785,22810,2418,32543,9905,8144,22947,23657,63897,106610,108460,34.5
132758,155063,139532,44949,30716,17445,13893,15684,15505,20459,46863,9252,6236,19602,10465,24427,25014,19623,34.5
239280,260368,205334,53382,19259,1125,12331,12596,28265,11451,60690,25012,16030,72677,36130,222134,287390,273582,34.5
159296,174817,137059,33260,15576,11987,3733,7657,20637,15468,31141,6662,16457,13668,14795,45623,73809,78023,34.5
365851,390327,322013,97561,67268,68504,14662,27959,30484,26239,8660,13266,25574,93406,38468,302306,363006,321612,34.5
104233,98398,76535,27190,19450,14538,6101,9516,13227,16704,33939,27194,8928,18993,19119,50089,57117,62812,34.5
