941hz,945hz,949hz,964hz,968hz,1093hz,1113hz,1132hz,1144hz,1148hz,1285hz,1363hz,1437hz,1500hz,1507hz,1519hz,1527hz,1535hz,weight
50849,41487,22874,8472,8325,10182,7560,6807,18501,7322,332139,106314,17596,50277,56700,13581,16982,9663,36.599998
87610,60397,29782,14935,6058,2450,15742,13818,29497,1648,297459,36561,6953,54136,124006,180389,137102,66928,36.599998
14586,4241,12839,10396,5678,7979,5338,8532,19662,6758,120920,37838,10885,13055,33835,47469,32486,18820,36.599998
9501,7751,13246,14131,9756,9890,12142,12035,19133,8854,133659,2559,9780,10321,16980,12650,14577,17177,36.599998
62947,24920,27057,172652,165723,67239,190443,108291,34283,77984,26357,53016,38962,66937,57524,8081,44511,80149,36.599998
1353608,271240,794631,1054959,532442,280248,351256,125652,127876,402421,109520,63753,576834,20311,59196,53604,73728,81985,22.75
1002630,391300,113159,1271393,855636,104719,153096,118195,31284,37897,19975,33410,57873,89106,38898,62908,32743,38959,22.75
802593,279854,178918,965038,620274,43676,57699,59581,9861,68276,5142,10490,32625,4891,18064,28882,43013,23965,22.75
241473,177260,94834,417783,293662,133327,250613,120245,21936,144587,43873,96903,398487,79675,46060,78684,46997,12509,22.75
1025460,409801,207539,949397,538072,90426,100263,67259,40187,105062,13772,12543,49135,25903,56763,24326,63755,54989,22.75
702181,335469,149362,293538,140905,48035,83358,65421,9229,33530,33645,34927,15538,41977,36655,49498,51864,13270,22.75
1827742,786302,850921,1297610,416685,226266,320745,139591,44276,131066,71337,54625,106801,14317,51266,18412,38035,56460,22.75
1064639,437212,398426,971198,388806,71280,152531,109287,26660,88459,22462,13604,7504,34201,27029,25437,2706,26362,22.75
223227,58517,235868,688157,384460,58829,48401,15995,21486,60786,11433,13944,11215,21854,36001,25009,20471,35445,22.75
187446,80934,137407,288502,123756,12645,17837,25658,17423,31072,19741,18757,12164,12787,28803,18596,20159,27923,22.75
101178,36362,89713,158424,57301,8214,11589,8542,15023,24751,18261,14169,8325,8598,18923,3593,9773,17948,22.75
71505,36079,55624,219694,123767,5277,7813,9389,15402,7386,19611,15624,10534,16064,17893,11514,13048,18004,22.75
19967,7389,36393,78857,36799,19377,16018,19332,23215,27239,24269,19270,29154,16142,12742,13272,11245,10496,22.75
49601,52065,41939,15237,8428,9528,16736,4909,9433,11427,98311,28673,21700,13286,63949,137860,127779,95690,34.799999
30657,36264,29734,17712,9617,7718,9687,11239,23127,9334,70344,76505,16384,15987,9369,9122,14759,16580,34.799999
36542,26454,33416,21896,21853,25527,25054,27037,19594,18813,89591,17475,11339,15239,52198,145625,152981,117292,34.799999
16662,22694,18947,11308,7793,9718,8978,9765,23638,6914,119892,57676,9575,13507,22373,38715,29437,14774,34.799999
79231,37968,3175,18945,20432,5937,10864,12088,2821,4215,118861,7699,7356,22459,66179,159440,165846,131720,34.799999
58714,46684,22137,5770,11531,8353,12232,10791,8106,9980,138233,10061,11891,10197,14652,55257,60904,49544,34.799999
103707,30015,22256,28987,8679,16201,5979,7772,33681,29832,51661,66141,34871,11176,121911,309105,287220,187227,34.799999
82389,54886,19181,6598,13075,18468,8818,9485,12452,14817,103643,11036,9175,13683,33984,106608,103942,73240,34.799999
64363,41145,10994,10311,16989,11723,9808,12050,11249,11144,96060,52306,13060,18305,29560,23981,10521,12037,34.799999
85102,49943,22295,27775,30017,7335,9362,10123,23675,8440,29463,28970,8671,8278,51692,158984,172849,147102,34.799999
94723,72780,27659,17139,27319,37882,26555,22412,36123,30441,117833,29231,24875,36552,72333,145354,132088,90298,34.799999
23957,24061,6267,11793,21547,187555,85166,43803,13885,3721,21759,9589,8522,18606,20150,36114,16473,17370,28.450001
11323,17045,24403,20727,15992,429846,127866,63102,16900,55422,21418,20923,10769,22906,24975,41173,28845,24417,28.450001
26158,17657,16987,20296,15719,143111,57426,39501,15281,20038,15577,12486,7072,10527,19731,5993,7010,7756,28.450001
30548,39450,66710,39681,29116,804759,138859,429878,35335,937245,16273,17185,38758,117394,175981,67233,15132,37222,28.450001
44660,55730,28143,21382,46617,464864,182970,71657,32252,130213,16901,18484,29495,28943,40371,64997,47917,62527,28.450001
219012,160973,84975,81148,33612,447792,106877,761511,99362,1222708,48392,53654,145320,111208,210263,184344,180117,156496,28.450001
35197,41407,19558,8165,29420,508052,110877,105719,18555,181514,45465,52381,31045,121537,114351,41890,10916,51133,28.450001
64282,105284,105365,53796,83317,697618,175831,409494,141669,1011891,94011,78732,141362,131580,133286,100814,67272,55501,28.450001
20459,9589,12475,15533,16194,374747,156183,79839,19066,56551,15876,15652,26878,35470,49032,30357,21615,13209,28.450001
68652,52605,117452,112544,101842,206475,347887,414683,46107,861070,214391,95327,27437,64712,121855,183535,168226,128038,28.450001
22687,59681,145804,129637,101179,375590,131357,438694,54280,540922,62899,225684,182870,166815,267958,293494,228347,189491,28.450001
29568,15061,47443,52360,47193,299105,181477,444265,62921,574274,100679,72793,17103,132090,208169,126597,87037,86676,28.450001
9196,48487,52514,37987,11187,213814,60188,14713,29518,44518,33967,35692,13736,63163,89939,65695,44065,30158,28.450001
18690,27856,16465,9846,19828,89805,9699,8077,25726,3502,20113,25285,3445,31702,26606,32387,41509,23929,28.450001
11378,12425,22885,14129,1621,140169,5521,3088,14672,14284,14183,17170,7726,3308,11712,14520,21546,25797,28.450001
146053,63836,64792,459216,438961,228207,38029,18802,39578,41861,21261,38826,60862,38012,18501,12315,27777,42787,22.000999
229153,79077,87682,157019,167603,43837,11791,8334,17893,11288,15822,16859,6612,19133,13622,17475,15760,9859,22.000999
708781,489281,445131,644694,567419,465439,67403,116457,127990,129259,198185,81271,518417,165967,108445,50270,120672,200419,22.000999
884287,187953,348581,1058331,965350,692392,163584,75299,59005,124970,53311,68211,24481,97170,25786,109280,64823,32740,22.000999
335072,278623,178605,1025172,964936,160986,34804,38285,15896,35737,32273,33173,25603,46270,27422,42039,39493,8945,22.000999
64680,151547,140305,938184,871431,30208,38247,35555,8671,23911,11592,12371,22332,16532,13289,12943,16801,10223,22.000999
21054,38382,54318,278531,274553,24401,30594,32395,12508,23339,7630,5671,5719,5427,3414,3028,5166,5175,22.000999
42220,24891,29048,151323,142444,11967,12153,17562,18741,9797,19433,18129,11639,17456,18431,11717,14189,11650,22.000999
260116,90499,72611,275611,209235,26033,9159,17223,11493,22626,18938,15109,63908,8264,16858,4945,14632,23391,22.000999
539174,180781,110486,510701,418150,82311,31337,11094,50410,27146,53243,51926,67080,56361,60712,68416,52619,71107,22.000999
96130,38885,57849,359334,269907,16122,5263,14120,28125,13318,29239,31644,12300,35357,24162,37697,29937,22709,22.000999
68240,64577,17905,256629,174487,15832,12831,8821,22107,3485,19393,18051,14144,15821,12548,21696,17764,14745,22.000999
338248,200997,289903,269997,242744,329976,150877,302708,205303,334194,363082,188042,281121,40755,116340,258050,275631,217819,23.5
133127,143583,92387,744985,615668,51302,23102,14345,15131,85340,14278,14455,27597,21128,15826,18672,15195,14937,23.5
84849,112568,57179,653223,554932,52126,13254,14746,16229,75217,16882,15051,8384,8111,16019,4833,15800,14405,23.5
48941,50013,28878,283569,234924,26860,22674,27175,14378,36536,15591,15717,6210,12791,9131,12437,11081,9896,23.5
40018,11668,45464,162131,191130,87400,76383,77192,62569,71902,67654,73081,47530,68804,49119,64952,52561,42779,23.5
222770,425713,437423,1676727,1522070,479910,173001,209928,8501,61290,82493,152647,100798,33646,21279,109281,92886,14527,23.5
144339,208839,313633,1096480,1039364,53578,26881,57164,19040,174815,15554,16358,78418,37334,28484,23311,28776,20187,23.5
910932,883711,470360,4472245,3542761,1207552,208820,348886,138821,502116,92847,125066,332284,68072,84672,37559,76122,129790,23.5
623185,616826,170470,3217132,1992509,589320,222271,434955,27804,506532,10017,32092,311458,30389,80677,29067,32648,49370,23.5
597411,747812,248625,3467152,2756135,234838,163662,46911,73250,437156,50683,72492,162032,106085,19306,123866,69087,51946,23.5
425226,431375,37616,2226915,1715742,140469,110819,41497,17913,339366,26625,16079,31452,26187,33119,46906,15788,46837,23.5
306001,319436,125221,1610267,1211078,136257,61102,50376,38410,228687,26414,32064,85230,36895,26569,49746,31640,42061,23.5
216317,285005,94622,1328332,1023444,54482,44930,72449,20353,108878,27559,27893,80779,38760,31811,34921,42128,16751,23.5
205732,198702,51271,837685,591513,27332,20296,21722,32537,78399,16625,24473,32337,38828,18454,49102,25043,32565,23.5
112579,110430,32442,477669,330867,29954,43393,23594,20252,70383,24000,28478,5261,32540,23370,29362,23516,24795,23.5
47425,55058,11736,313750,239395,1325,20426,21006,8242,7689,10217,12659,13581,9554,7914,11377,9049,6466,23.5
53380,50758,9114,201420,134503,7051,18064,18042,15141,12852,11705,13034,6766,13187,10423,19743,17367,19152,23.5
101410,9630,98970,514423,677848,701140,101562,111390,18559,84829,17174,18707,44423,41139,26979,43144,32339,33359,23.75
18296,51879,50561,181073,235535,159513,47596,39671,17758,57779,14298,15546,14954,21413,9210,18645,15272,988,23.75
43366,27484,93386,329504,451524,74854,17957,24738,20475,56189,26576,23281,10999,23130,30818,17869,27695,27250,23.75
19994,22724,57317,232637,322555,9849,11571,11374,8874,16889,5403,4609,16865,2653,558,7373,2992,6789,23.75
18047,19642,18570,79867,104074,17243,19806,20898,18706,15994,13457,15665,2467,11155,10993,17671,17337,16245,23.75
277061,304535,151651,840545,906084,633328,101006,123985,142318,55647,13232,215695,473622,62614,65868,128251,207937,222368,23.75
99668,68744,200815,745028,854440,372482,47233,59494,26116,107541,34211,35976,16304,46738,44942,39552,54074,31061,23.75
36130,61167,50575,127628,118355,58635,9116,50068,25421,95081,20838,24628,12599,28678,17816,26566,25154,17133,23.75
66174,71289,68913,44430,76750,42583,93918,82850,30595,94109,22498,16943,92009,37385,31190,23915,19904,42493,23.75
211996,87580,120234,362583,612563,605122,55903,139893,49417,282597,50299,45256,37439,55295,56052,69350,55797,70781,23.75
41768,71266,92088,301623,362833,93363,5925,14457,7883,26276,12884,10468,17938,12089,16585,4592,11614,13502,23.75
66583,80083,50772,40099,71755,49016,31961,47780,3741,101043,16306,14787,28271,244295,189956,1099686,1342368,1232413,30.35
33193,19987,14875,25071,30796,39441,13837,25192,7216,44261,25046,28219,28926,109210,108102,437863,557315,527205,30.35
28012,38832,59261,45607,24835,35835,34454,33748,71131,18813,59862,105487,28855,559703,273432,1516130,2098005,1972885,30.35
34436,26455,5364,23234,32110,33630,2532,3299,25443,19780,15090,18057,21324,109382,200453,167908,103343,65970,30.35
75452,47437,4202,87640,88189,39815,54352,50876,97569,219106,67591,150924,241430,560326,247127,1243392,1771914,1835518,30.35
32299,11676,18373,23273,29642,17923,16950,15648,14269,7046,9085,15112,22249,41274,176263,590802,682900,641906,30.35
22041,31361,23099,15265,19199,16222,7878,12340,2118,13011,4738,7023,4786,65245,37803,152358,224772,232315,30.35
12432,11735,6206,9481,12782,17862,8846,11819,20705,12054,18820,21702,5615,36467,26327,85809,117059,102162,30.35
14667,16982,13067,10744,12843,13201,13127,9451,12910,11683,10204,10821,11600,7134,7610,27811,29101,30045,30.35
11116,13167,9175,8503,12719,10577,11707,11101,14270,10586,13476,13553,10032,10470,18121,9355,13087,10171,30.35
85430,100649,57549,46158,88023,159933,201759,173789,136102,286512,84752,69613,434573,358811,582250,911898,1020941,985224,30.35
39395,61407,37967,19555,33661,21507,20266,16245,16020,38724,12438,32383,65040,290789,234483,1118003,1382768,1294476,30.35
44278,47032,15564,19024,44072,115525,73977,102563,9957,146021,17524,23549,8082,108583,177997,747505,823837,655809,30.35
36352,8674,26709,40271,35389,12318,27022,23840,20564,28493,36487,18011,16667,132733,368052,1167509,1276144,1105167,30.35
105233,49286,86197,46129,80104,52327,41763,74846,111038,223341,83042,95327,237990,373447,468948,396183,223883,108060,30.35
36544,22642,30122,39921,33070,53197,8259,19521,45285,50084,76993,93716,24747,237209,351901,1392805,1586279,1344916,30.35
119314,129075,126797,85292,65990,36094,88110,61920,82086,53752,28043,94639,77052,154763,181909,205476,282115,301862,30.35
32258,47410,33457,27282,39953,19447,45146,47065,27843,59920,42141,34283,17472,332491,374725,776573,1179599,1214058,30.35
22329,32104,17749,2993,20221,33387,22300,24898,9688,20139,20014,19777,20298,15083,52174,293659,344951,271835,30.35
107296,74827,44176,119712,36026,83298,31989,40253,36357,102209,27109,57917,54570,277938,467522,823414,1182088,1284030,30.35
35724,21035,59359,64662,23650,109407,12878,65087,27356,178320,30183,50132,34474,226615,137052,1037645,1324046,1261374,30.35
46604,66827,81090,108407,35358,120475,44508,62890,51814,88396,8445,56130,20957,66763,102912,282210,384896,393964,30.35
13983,34901,30212,17408,13630,79215,18825,39992,6800,71007,31822,39082,40869,122599,89697,310342,430106,397753,30.35
15343,13182,27562,13634,6844,49924,28941,30607,25320,16206,30945,37306,5443,70772,70029,81727,130793,97582,30.35
19997,6548,22933,30122,16288,18614,6118,6717,17370,3730,22275,21384,6233,38527,37519,82025,127141,108173,30.35
12103,17289,20159,17158,9537,20475,12065,12975,14643,10956,10013,7409,20039,8552,6033,20462,17535,4745,30.35
4131.442153,3784.266403,3932.976403,3354.233254,1855.749489,72063.328868,55990.91702,63142.925197,51643.465596,41881.565586,15114.887786,238794.579183,90517.484014,2867.60012,2650.700443,13616.310043,7280.202286,11677.654689,16.8
404.77846,1068.039581,896.285949,49.448228,804.532401,4415284.515935,35535.418318,1522180.569436,540.881676,796.809542,16719.764361,5716.190601,3029091.12718,4316.382491,2737.522894,1081.340065,1184.901806,974.965975,16.8
38236.399909,32371.301486,27870.000581,134467.050769,155766.259983,6505493.109788,4289.743834,3525033.416394,201550.148712,155362.119513,19177.169076,33208.565699,399426.996247,94931.538614,105372.396545,100150.459618,63873.376542,94337.378031,16.8
321.535694,36.024973,249.043869,1159.369826,468.486534,4809160.341871,44173.696492,2668135.561239,15077.327966,8855.204608,2914.731733,641.622593,1198653.547947,1250.333708,1323.556825,2408.308577,1619.13318,3018.692426,16.8
65328.537811,38073.971974,50633.56627,92678.036007,99085.78486,3517748.951823,27168.012432,3406778.448375,10941.761871,19431.858982,17358.919016,7631.709174,341838.401458,26449.48256,44115.478519,28703.713035,64544.188039,18000.946971,16.8
57516.454382,15458.629302,34362.115708,70094.625769,84145.309967,3652700.616812,4417.906076,1295969.261751,53397.876479,162763.011806,27354.818619,14892.274137,122235.786918,8788.253825,159747.84101,60772.751463,3752.859758,17827.025813,16.8
12285.216395,69990.386844,81688.248387,84780.847791,110327.453395,841624.758906,262903.759807,877632.586113,88527.745314,13959.708875,96657.174796,24952.728221,1609618.711825,76117.974035,133132.22157,192671.086509,158680.863049,114077.968782,16.8
6088.483586,5411.94239,1466.330443,16983.627077,16461.743986,565629.690552,78850.81214,35991.208032,47364.97879,36508.477682,35954.59669,51130.743979,91219.65872,6889.980771,3392.285985,4713.118062,3760.142932,8677.207079,16.8
1098.37072,1056.283522,721.123763,408.84918,908.044103,1339047.230423,30774.730186,2763524.837259,795.927696,3138.467452,7234.376772,4172.622833,3080064.826654,2265.929563,1507.138791,1307.230139,1078.580691,310.078114,16.8
998.266049,34.523811,568.62577,1603.739959,1008.600178,437785.876055,70138.098671,1350448.221233,1612.81828,845.622406,9503.471645,641.118531,2921264.289262,2304.913384,2704.787831,1983.155503,1504.129775,1965.346124,16.8
453.321268,2800.629094,779.592299,1265.113564,1037.306445,418499.382355,28770.549764,900475.138106,33655.906414,18702.529305,11301.251832,1412.637745,2456624.087601,455.454349,1389.694149,1069.048387,2101.735754,990.498338,16.8
577.450458,53.038701,658.492925,374.029457,1321.704921,329575.776776,73556.94985,224943.336527,40508.473644,8702.839375,10353.61956,30034.891742,939207.597289,6945.460128,7942.452814,5897.079711,5684.5744,8749.986787,16.8
346.659916,14.17746,176.540172,1822.255139,517.190212,4223753.097373,27713.175069,2443175.598341,9115.690972,5643.278759,5495.71976,496.670764,1731880.462502,48.893074,698.651549,1575.81695,2052.436052,1448.413124,16.8
36195.667878,26329.110343,17417.238293,23817.965745,13688.836865,6501662.527017,46098.349236,745144.922271,29824.351636,10732.227597,15054.579115,57030.733474,439182.197437,26014.180073,42682.583319,23889.544046,44676.851351,15858.214205,16.8
2088.91511,1485.496155,1988.43319,358.157402,631.253397,2445308.628277,61532.578329,1568870.118669,31529.569505,20695.495292,544.176726,4078.04109,1329855.936945,1559.541686,1873.225801,626.827552,3995.042471,3157.407504,16.8
483.657823,444.203186,548.173363,429.031586,2024.871009,4405297.497719,16700.73989,355622.753208,2288.888631,2583.004754,274.201567,2307.907171,121975.800799,545.082825,335.582346,2876.910425,1251.569301,512.434969,16.8
373.18197,1917.405373,285.114737,374.886226,11.005651,4957360.544669,5242.6918,1434248.48112,21771.566626,9952.284708,14272.28292,601.311656,396255.631782,314.653938,51.460115,534.589793,83.467401,243.790847,16.8
254.208179,211.593776,4095.508721,2974.485669,1506.938667,23622.347289,1367847.882647,47739.29626,2640263.259815,291259.373857,3042.845135,3081.26382,311.896265,9.577967,155.299337,348.118779,1673.286374,436.835042,17.6
584877.187417,638507.918016,711131.334832,577060.716219,412876.326665,787092.885398,318750.992454,271580.917858,275626.88782,205553.13821,148943.589126,255163.671327,741763.37872,62249.19189,120895.134143,83739.423178,24183.555608,47124.789377,17.6
101.813617,14.807383,256.451372,0.821366,486.069867,551.538903,5331.867271,1991.114938,4298.941042,18878.393694,161.881943,288.7857,411.33461,699.856197,384.046068,100.432505,116.59298,472.098366,17.6
587.520347,2184.65524,680.490349,753.347814,100.405551,19752.236399,2356571.775691,24498.500859,306253.318003,361589.123368,8057.662783,6565.239387,2020.57381,354.859395,891.710357,1338.773037,4171.018388,1432.975451,17.6
1213.540525,241.422721,1154.978638,1863.467653,2699.293004,67996.560753,669893.763342,6051.970245,123641.582917,169824.432522,13408.124962,54696.617512,1138166.77575,18201.423583,3354.679284,23003.798653,19132.940863,19074.761493,17.6
917.74549,388.080219,122.753862,1644.302935,875.605505,29643.547432,2704280.541605,53874.60746,2522719.232847,585672.580221,10154.10712,3428.109976,1931477.875788,4683.206957,607.624482,543.557034,102.019695,152.912739,17.6
11495.830528,24959.467529,25533.204167,24020.986274,23760.793126,24274.461161,235202.946455,147715.141717,396120.136676,78085.853711,60551.421923,29747.576959,30816.554981,10702.401919,9674.669667,27307.153458,28749.849907,33423.623291,17.6
444.013531,635.973405,353.894095,890.128364,179.115074,27804.279296,815652.629041,9999.006035,1623866.343321,75209.754113,13396.560727,19999.20085,141173.949024,2791.339369,3297.031856,7199.607433,3113.011408,2441.302873,17.6
1573.38154,2297.78413,506.01049,2247.773258,2170.670594,36057.825216,3957850.888699,30367.395737,366609.290674,204107.249275,933.763487,1677.80085,21500.823852,3413.886307,4814.960096,656.627573,2743.442314,2019.990988,17.6
357.221214,914.158281,334.427991,387.528456,877.757007,1336.77207,690.710862,945.531637,90.20764,563.041746,129.234161,283.772029,514.902992,292.657957,621.27026,954.073327,498.820676,559.739318,18.8
272.700928,3333.607552,3039.057593,637.610134,540.020168,103.050637,201.861329,649.528181,116.832936,558.84686,1384.05276,150.068819,37.732379,2021.242062,286.382032,437.056112,734.029069,1111.361146,18.8
444.599026,794.933768,248.889126,263.196856,975.697442,6873.271315,2883446.363793,10802.500962,97476.546089,1738137.712723,263.924826,883.666894,1995.31475,51.379702,96.660838,710.063166,283.381259,775.856914,18.8
449.38102,787.716028,515.954942,537.496259,43.571283,3700.555997,1589459.86947,11115.298917,34017.214109,870608.060005,1058.669434,740.956403,732.73488,5168.717503,4799.596253,3000.73916,429.064879,4217.139503,18.8
80.445573,440.388773,813.041668,384.106003,750.310865,78950.649303,2039775.002311,5470.639797,765827.884838,765367.789093,6508.065248,8986.033434,1676383.301106,5683.462187,950.927672,1538.293816,7731.622846,4712.044261,18.8
300.225202,1069.369197,2598.098826,1184.8198,510.82617,241.119441,123433.216017,1954.04895,153213.19305,111186.669067,4772.242637,3234.114972,419.22802,576.525226,405.844364,574.589508,680.715611,161.57737,18.8
2633.888188,696.004393,1406.007176,241.568098,685.224908,57.649913,65228.496108,2779.619598,39217.773952,97123.07807,905.285188,1877.643415,1198.370806,329.084228,473.546302,596.836809,1501.047452,183.779349,18.8
1856.190717,544.082443,160.299594,1299.981155,1523.139573,994.151038,2289842.581983,30425.008907,539186.066205,2349959.13443,3510.311864,20978.65594,22167.216273,247.570115,127.565253,196.420365,375.444738,724.383697,18.8
646.900782,2170.521119,87.935844,2820.731659,909.589571,157221.050797,78408.13783,52880.384138,1490238.77722,3984400.168295,125020.472593,140866.553157,5326477.97528,26397.334434,26089.463252,13814.870073,34167.996326,12897.780537,18.8
3214.61051,910.674539,578.56817,250.433833,573.812208,26.001906,25715.744896,1918.586103,364153.41485,155853.762955,1172.72826,12800.375026,9920.599362,1789.06815,5804.028774,1822.476912,2698.787929,741.635801,19.6
121.817541,1094.009066,1258.956063,1330.314433,277.977734,2668.355678,12778.892328,1291.195063,178262.085277,18665.562952,538.114342,8872.726627,3857.751598,11957.94652,3356.410757,4259.412285,404.982688,2053.839033,19.6
1327.100322,738.630992,293.345935,1687.33528,5722.854153,3892.663782,2732.608129,2568.32889,91072.535609,31376.221088,863.157491,12452.834241,2603.361583,3403.586473,9098.360718,1618.777208,747.074158,2524.093118,19.6
2396.069917,1619.711949,480.510649,344.218789,2094.253727,857.560032,30065.865842,1905.231431,58907.68076,19093.927722,16407.690774,23226.533699,31609.660534,1794.618637,2216.059714,753.921044,7158.73349,30124.553359,19.6
269.547407,81.027851,300.878872,1503.558441,706.223446,459.745724,37.952247,492.917111,16836.345097,7892.026061,986.952737,401.657555,7533.552306,6891.568655,2964.493183,4151.610757,4150.679147,2305.539116,19.6
120134.264316,115291.825035,134364.062048,124261.600093,98691.734582,574275.04862,387666.374447,380946.650725,1218557.041815,1363938.447343,126143.824412,69986.635388,1116362.274693,35026.678506,146182.745279,291858.231672,246996.968492,245973.905161,19.6
626.53548,598.286093,321.932618,302.665681,514.444992,11704.24114,297223.420406,16209.801135,71899.892216,1355285.819623,13362.437632,10144.245234,568.424604,2376.964504,39.080844,353.66059,219.954506,3074.191801,19.6
346.25731,393.375183,528.509296,1266.605353,28.600651,8848.243925,73939.100104,48127.143575,210499.86682,1406628.461317,1816.743618,15468.878678,802.518153,926.043648,938.58229,657.251729,270.963987,3442.109056,19.6
46750.0231,44825.484829,35191.865089,21015.679816,11441.129951,466188.060986,6010119.36075,1096697.464246,2822798.377352,2925158.161927,402076.211213,43105.579833,6272295.248671,10832.617037,86942.243885,81640.654138,239704.169286,145585.09967,19.6
970.76811,55.492815,33.23307,17.706381,409.164969,120.731652,19012.948414,664.166092,40885.662413,48051.428677,209.815623,642.564531,17.335543,1129.693914,238.332153,69.503129,639.083863,318.577756,20.2
58.716194,2682.707298,202.801965,542.870938,1299.838761,7738.108953,1610371.202397,1991.049659,180313.724458,1626703.491099,1151.813034,6997.864525,912.292484,54.655448,648.99639,647.54447,334.232654,1277.110182,20.2
646.84585,573.453681,221.341357,143.413526,2953.570192,4518.959477,68355.731281,46081.121742,2052668.202417,5716333.287287,4235.550466,2403.969992,318.178558,67.874918,241.061472,513.511314,842.27699,56.726713,20.2
7857.118751,229.910736,9865.874813,8531.371775,21530.933983,87169.89558,428800.324966,157895.002512,824710.321634,14993.659438,2103.416151,413909.15537,2894404.978485,192303.70383,32079.292855,104915.138792,11604.216068,50741.773481,20.2
1506.936907,1412.116137,2849.867029,3919.19801,2119.540934,509.263152,249161.205802,1576.996051,136064.493696,27846.362336,345.930538,315.40321,310.922213,533.919124,1355.776135,557.101289,330.289527,856.74381,20.2
6095.697746,1906.294361,633.145259,1228.827881,228.998267,3279.40746,65458.953377,278.302616,5703.203841,164607.432754,504.90115,298.47329,1647.326447,692.477101,1517.75298,1117.412136,821.345978,954.709823,20.2
732.993115,1115.525999,129.027804,104.761361,975.117404,20924.369374,2844225.063818,46619.51457,42962.633791,43660.489169,1131.587788,17179.075638,158393.591338,425.116843,2654.519914,415.779929,239.093386,5053.017083,20.2
260.778426,2836.772175,1048.932321,618.605944,42.521348,33849.420292,6160317.247085,6590.060637,1384890.175004,318617.032277,5197.277561,1424.366297,28383.135092,418.196094,622.270867,166.934372,995.751844,1148.086128,20.2
941.996214,1084.391808,313.97321,298.989574,1192.482455,4200.582458,2069882.676124,33117.825462,1262670.583705,123458.796006,34.020954,1809.41741,132.140866,285.702547,734.256012,829.334373,737.203084,572.248044,20.2
552.762218,208.197057,1317.031766,451.074322,683.559608,3072.71009,1694978.964224,3760.33526,468391.818476,29077.870218,2813.991244,640.802925,2558.643791,1276.494221,69.856497,454.348106,811.141382,547.448382,20.2
197.644819,1136.227565,2142.384454,516.413672,512.064365,29166.900519,658787.282054,23953.636502,96692.947023,4131571.872157,744.603568,5167.018287,2093.526843,869.710216,425.62363,202.464501,781.813622,2436.349043,20.2
10109.317203,5513.144896,6030.963099,11419.487114,11914.855162,5671.703918,4239569.47118,15292.219869,561364.502118,418664.486205,19018.843035,27252.14889,1719813.699626,866.833469,56611.0773,148.179997,48160.289602,11041.150637,20.2
2077.708224,426.804301,1820.020064,1463.151466,1044.307806,2505.731647,224966.324372,3285.851873,215765.292759,32710.844692,809.751785,444.213541,2139.100771,290.121869,657.079382,752.910332,807.117237,1321.870612,20.2
1779.812926,276.032542,546.539281,1325.969102,4081.106097,1218.12027,433998.440931,2446.318467,180924.530596,12659.559218,137.732085,607.00766,966.931498,883.688973,35.877167,759.040538,946.715286,582.564076,20.2
428.245489,527.582745,298.585581,165.608215,784.045933,4214.887736,1138454.89069,4338.384595,1003565.431561,1475816.763514,1212.124476,3327.986964,136.768625,163.78563,1002.259283,681.819641,1400.788724,250.922056,20.2
219.932765,357.440853,3682.543067,96.596451,750.675992,1745.511656,17566.986212,1984.933741,119510.951059,151102.4568,608.294484,1707.767941,35.915042,825.664941,378.692971,1018.917947,405.46981,144.184886,20.2
2518.43847,389.087967,364.564738,2045.176227,266.664894,2832.056787,10894.560325,280.079785,13845.2209,10929.763553,4854.299732,872.255208,9156.399262,12791.011536,2817.046673,6615.178626,9461.980491,8889.216936,20.2
36.297254,237.531391,2538.18837,275.384765,3647.426315,3712.702961,55341.364907,6396.036247,87082.638138,1439455.823047,868.723931,6864.707022,7911.266677,1081.108854,2027.443309,1688.415712,5325.634073,2865.524806,20.8
1655.146555,278.046883,815.005908,3232.939598,964.941193,23174.884089,1040901.565203,11546.205588,1271820.787544,4310171.432637,5289.713235,7663.09283,857.066483,1321.187818,696.423382,648.559207,1745.545704,1131.345553,20.8
369.236105,1457.656173,3186.439295,91.182153,663.201322,10452.79002,341140.906625,3237.802661,705133.913649,1602502.309939,8398.307692,19055.117313,642.897273,1598.073876,204.046667,219.749062,1423.204641,561.237006,20.8
896.556226,207.807275,1689.827005,2037.169189,1205.855994,9525.909077,92913.836446,4262.773243,345918.56972,764475.024256,3363.188481,13221.422478,89.988398,92.505201,138.313212,461.659223,385.670268,344.719124,20.8
16634.916409,26942.273971,39238.456815,5160.192703,3636.442945,254147.760892,727601.169837,532295.293218,213602.998905,75993.033772,520.79912,29329.816437,5612399.857774,39838.453204,18932.190519,50229.931665,109456.34258,48233.342174,20.8
9352.130894,5059.74762,521.09322,2328.221211,1474.312869,41243.235969,1352771.739881,4785.984877,388395.862373,1985809.728805,4172.247969,9110.359034,5421.058222,411.821845,1658.223703,105.064261,3807.439039,2757.601075,20.8
37.333299,368.625016,314.623955,272.973218,1773.363204,23728.255506,623468.935904,2052.965683,84931.111881,3851830.362998,1171.532057,3897.717073,2236.924844,459.781026,794.473523,250.018472,2528.846324,1065.696737,20.8
491.134529,343.027985,265.494706,3918.731862,3448.183185,6312.018911,97511.672969,3922.334477,23077.820854,1896435.564783,398.026666,7741.295841,233.634174,2513.387277,1182.375057,3163.111546,3787.597605,1184.868077,20.8
