Index,Output,Classification
376,22.75,4
377,30.350000381469727,5
378,26.0,3
379,26.0,2
380,26.0,3
381,27.6,3
382,32.54999923706055,0
383,26.0,2
384,27.399999618530273,0
385,34.20000076293945,0
386,27.8,2
387,28.0,3
388,28.0,3
389,34.150001525878906,0
390,28.0,3
391,21.6,0
392,27.8,2
393,27.8,3
394,28.0,3
395,26.2,2
396,28.0,3
397,27.0,0
398,27.8,2
399,28.450000762939453,4
400,22.0,4
401,20.2,0
402,26.0,3
403,29.5,5
404,26.0,3
405,27.6,3
406,30.350000381469727,5
407,28.0,3
408,25.209999084472656,4
409,26.600000381469727,4
410,26.0,3
411,33.400001525878906,0
412,26.0,3
413,28.0,3
414,18.8,3
415,26.649999618530273,4
416,29.899999618530273,5
417,27.6,3
418,28.0,3
419,31.649999618530273,4
420,27.8,3
421,28.0,3
422,27.6,2
423,28.0,3
424,27.8,3
425,32.900001525878906,5
426,20.100000381469727,4
427,18.8,5
428,26.0,2
429,27.6,2
430,28.2,2
431,34.20000076293945,0
432,27.8,3
433,34.20000076293945,5
434,27.8,3
435,28.0,3
436,28.299999237060547,5
437,34.150001525878906,5
438,27.8,4
439,27.6,1
440,31.399999618530273,5
441,25.2,0
442,30.350000381469727,5
443,27.8,3
444,26.2,2
445,32.54999923706055,0
446,26.0,3
447,27.8,3
448,32.900001525878906,5
449,28.0,3
450,32.900001525878906,4
451,28.0,2
452,28.0,2
453,23.8,0
454,23.75,4
455,28.299999237060547,0
456,19.5,4
457,18.100000381469727,4
458,26.0,3
459,26.0,3
460,34.5,0
461,27.8,3
462,27.8,3
463,23.799999237060547,4
464,30.350000381469727,4
465,26.0,2
466,27.8,4
467,26.0,1
468,18.899999618530273,4
469,27.6,3
470,28.0,2
471,26.2,2
472,16.8,0
473,26.2,2
474,27.6,2
475,22.75,0
476,26.0,3
477,19.6,0
478,27.8,3
479,28.0,2
480,25.8,0
481,33.5,0
482,21.5,4
483,25.8,5
484,28.2,2
485,26.0,2
486,27.6,2
487,22.000999450683594,4
488,19.100000381469727,0
489,29.5,4
490,26.2,2
491,26.2,3
492,31.649999618530273,5
493,27.399999618530273,0
494,21.5,0
495,27.8,3
496,28.0,3
497,26.0,2
498,24.100000381469727,4
499,29.5,5
500,28.0,3
501,28.450000762939453,4
502,20.2,0
503,26.0,3
504,34.5,0
505,29.899999618530273,5
506,27.8,3
507,32.54999923706055,4
508,25.2,0
509,29.899999618530273,5
510,26.0,3
511,26.0,5
512,16.8,0
513,27.8,2
514,25.209999084472656,4
515,27.6,2
516,27.6,3
517,18.899999618530273,4
518,18.899999618530273,4
519,26.0,2
520,29.899999618530273,4
521,32.650001525878906,4
522,30.350000381469727,5
523,19.5,4
524,28.0,3
525,33.5,0
526,24.399999618530273,4
527,27.8,3
528,24.399999618530273,4
529,26.0,3
530,28.0,0
531,26.0,2
532,27.8,3
533,28.0,2
534,26.0,2
535,18.799999237060547,4
536,26.649999618530273,4
537,30.350000381469727,5
538,25.2,0
539,27.8,2
540,33.400001525878906,4
541,30.350000381469727,5
542,25.8,5
543,31.399999618530273,4
544,25.200000762939453,4
545,26.2,2
546,19.200000762939453,4
547,34.599998474121094,4
548,25.2,0
549,26.0,3
550,26.0,3
551,23.5,0
552,26.0,2
553,27.8,2
554,20.75,0
555,28.2,2
556,27.5,4
557,28.0,0
558,28.0,3
559,28.0,3
560,20.75,0
561,27.6,2
562,20.100000381469727,4
563,25.2,0
564,28.0,2
565,27.6,2
566,28.0,2
567,32.70000076293945,0
568,26.0,2
569,28.0,2
570,26.0,2
571,20.2,2
572,26.0,2
573,16.8,5
574,25.2,0
575,26.2,2
576,34.5,0
577,26.0,3
578,20.75,0
579,34.599998474121094,0
580,28.0,2
581,26.2,3
582,29.500099182128906,4
583,26.0,4
584,34.79999923706055,4
585,36.599998474121094,0
586,26.600000381469727,4
587,20.2,0
588,24.399999618530273,0
589,28.0,2
590,32.900001525878906,0
591,27.8,3
592,24.700000762939453,5
593,27.6,2
594,26.2,1
595,31.649999618530273,5
596,20.75,0
597,30.350000381469727,5
598,18.100000381469727,4
599,26.649999618530273,4
600,24.100000381469727,4
601,28.0,3
602,33.400001525878906,4
603,31.649999618530273,5
604,24.399999618530273,4
605,26.0,3
606,29.500099182128906,5
607,27.6,2
608,29.899999618530273,5
609,21.5,4
610,28.0,3
611,26.0,3
612,26.2,2
613,27.8,1
614,25.2,0
615,29.500099182128906,5
616,34.599998474121094,0
617,26.0,3
618,27.6,1
619,28.0,2
620,22.000999450683594,4
621,27.8,3
622,18.799999237060547,4
623,27.8,3
624,24.100000381469727,4
625,33.5,0
626,27.8,3
627,29.500099182128906,4
628,19.6,5
629,27.8,2
630,26.0,2
631,26.600000381469727,4
632,22.000999450683594,0
633,26.0,2
634,34.150001525878906,4
635,22.000999450683594,4
636,27.0,4
637,24.399999618530273,4
638,28.450000762939453,5
639,26.0,3
640,34.20000076293945,0
641,29.899999618530273,5
642,27.6,2
643,22.75,4
644,26.0,1
645,26.2,2
646,19.5,4
647,20.8,0
648,24.700000762939453,4
649,26.2,1
650,18.899999618530273,4
651,27.8,3
652,28.0,2
653,20.8,0
654,28.299999237060547,4
655,26.2,2
656,31.399999618530273,5
657,28.0,2
658,27.0,4
659,16.8,0
660,32.70000076293945,4
661,16.8,0
662,26.0,3
663,24.700000762939453,4
664,27.8,3
665,19.200000762939453,4
666,26.2,2
667,36.599998474121094,0
668,28.0,3
669,32.650001525878906,0
670,25.8,3
671,33.5,4
672,27.5,0
673,26.0,2
674,23.75,4
675,19.5,4
676,27.6,2
677,29.5,4
678,32.900001525878906,5
679,18.8,0
680,24.399999618530273,4
681,29.5,5
682,27.4,3
683,28.0,3
684,27.8,3
685,19.850000381469727,0
686,18.100000381469727,4
687,19.5,4
688,26.0,2
689,27.6,2
690,26.0,3
691,27.8,2
692,33.400001525878906,0
693,28.0,0
694,25.8,0
695,34.20000076293945,0
696,25.8,0
697,26.0,2
698,26.0,2
699,23.799999237060547,4
700,19.200000762939453,4
701,23.75,4
702,16.8,5
703,28.0,3
704,25.2,0
705,22.75,4
706,36.599998474121094,4
707,30.350000381469727,0
708,18.899999618530273,4
709,19.6,0
710,27.5,4
711,29.899999618530273,5
712,28.0,2
713,30.350000381469727,5
714,26.0,2
715,33.400001525878906,0
716,20.8,0
717,27.5,4
718,19.100000381469727,4
719,27.6,2
720,21.6,0
721,21.6,0
722,27.399999618530273,4
723,23.75,4
724,25.8,0
725,31.399999618530273,4
726,19.6,0
727,27.8,3
728,23.500099182128906,4
729,19.850000381469727,4
730,28.0,2
731,26.2,2
732,19.100000381469727,4
733,34.150001525878906,4
734,25.200000762939453,4
735,34.5,0
736,26.0,3
737,19.850000381469727,4
738,18.100000381469727,4
739,17.6,5
740,27.6,2
741,27.8,3
742,25.2,0
743,19.850000381469727,4
744,28.0,3
745,34.599998474121094,0
746,28.0,2
747,34.79999923706055,0
748,24.399999618530273,4
749,33.5,4
750,32.54999923706055,0
751,34.20000076293945,0
752,25.209999084472656,4
753,26.2,3
754,27.8,3
755,25.209999084472656,4
756,34.79999923706055,0
757,34.599998474121094,4
758,26.0,1
759,27.0,4
760,24.399999618530273,4
761,33.400001525878906,0
762,29.500099182128906,4
763,18.799999237060547,4
764,27.6,1
765,22.75,4
766,26.0,2
767,26.0,2
768,28.0,2
769,18.799999237060547,4
770,24.700000762939453,4
771,25.2,0
772,27.8,3
773,34.79999923706055,0
774,34.599998474121094,0
775,26.2,1
776,26.0,2
777,26.0,3
778,32.70000076293945,0
779,32.54999923706055,0
780,28.2,2
781,20.8,0
782,27.8,2
783,28.0,3
784,32.54999923706055,4
785,22.000999450683594,4
786,20.8,0
787,30.350000381469727,4
788,26.0,3
789,29.5,4
790,28.0,3
791,18.100000381469727,4
792,26.2,3
793,18.799999237060547,4
794,26.2,0
795,26.2,2
796,28.0,2
797,19.200000762939453,4
798,26.2,3
799,28.0,2
800,27.8,3
801,28.0,2
802,20.8,0
803,28.0,3
804,28.0,3
805,19.200000762939453,4
806,27.4,5
807,27.8,3
808,16.8,5
809,26.0,2
810,23.6,0
811,27.8,2
812,28.0,3
813,27.8,2
814,20.75,4
815,26.0,3
816,28.2,2
817,26.2,2
818,26.0,2
819,28.0,3
820,31.399999618530273,4
821,26.2,3
822,28.450000762939453,5
823,27.6,2
824,27.8,2
825,28.0,2
826,26.0,1
827,17.6,5
828,23.5,4
829,32.650001525878906,0
830,28.0,2
831,19.100000381469727,4
832,26.0,2
833,27.6,2
834,32.70000076293945,4
835,24.100000381469727,4
836,28.0,2
837,28.299999237060547,0
838,20.100000381469727,4
839,25.200000762939453,0
840,26.2,3
841,22.000999450683594,0
842,30.350000381469727,5
843,25.2,0
844,26.0,1
845,23.5,4
846,27.8,2
847,27.8,2
848,26.2,3
849,28.0,2
850,29.899999618530273,4
851,16.8,0
852,26.0,2
853,19.200000762939453,4
854,26.600000381469727,4
855,25.200000762939453,4
856,19.5,4
857,31.649999618530273,4
858,25.200000762939453,4
859,29.899999618530273,0
860,31.399999618530273,4
861,28.0,3
862,27.8,3
863,31.399999618530273,5
864,23.75,4
865,25.209999084472656,0
866,26.0,1
867,28.450000762939453,5
868,26.0,3
869,34.79999923706055,0
870,26.0,3
871,28.0,2
872,24.100000381469727,4
873,34.150001525878906,4
874,26.2,2
875,26.2,2
876,28.299999237060547,5
877,33.5,5
878,29.899999618530273,4
879,27.6,2
880,28.0,2
881,28.299999237060547,5
882,20.2,5
883,26.2,2
884,28.0,3
885,26.2,3
886,27.6,1
887,27.8,3
888,34.20000076293945,0
889,22.000999450683594,4
890,17.6,0
891,26.0,2
892,28.0,3
893,27.5,4
894,20.8,5
895,26.0,3
896,26.0,2
897,27.6,3
898,34.79999923706055,0
899,26.0,2
900,34.599998474121094,0
901,17.6,0
902,26.2,2
903,34.5,5
904,33.5,4
905,32.900001525878906,0
906,19.200000762939453,4
907,25.200000762939453,0
908,26.2,2
909,29.500099182128906,5
910,27.8,2
911,28.0,3
912,19.5,0
913,27.8,3
914,19.5,0
915,27.8,3
916,27.8,3
917,32.900001525878906,5
918,18.8,0
919,27.8,2
920,26.600000381469727,0
921,29.899999618530273,5
922,23.5,4
923,23.799999237060547,4
924,21.6,0
925,26.0,2
926,26.2,2
927,27.8,3
928,26.0,3
929,19.850000381469727,0
930,32.650001525878906,0
931,18.899999618530273,0
932,27.6,2
933,28.0,3
934,27.399999618530273,5
935,26.2,2
936,28.0,3
937,20.2,0
938,29.500099182128906,4
939,28.0,3
940,20.8,0
941,17.6,0
942,27.6,2
943,32.900001525878906,0
944,26.649999618530273,4
945,28.0,3
946,18.100000381469727,4
947,19.5,4
948,28.0,1
949,23.500099182128906,4
950,29.5,0
951,26.2,2
952,18.899999618530273,4
953,30.350000381469727,4
954,26.0,3
955,25.209999084472656,0
956,27.8,2
957,20.8,0
958,26.2,2
959,32.900001525878906,5
960,18.899999618530273,4
961,31.399999618530273,5
962,23.5,4
963,22.0,0
964,26.0,2
965,28.0,3
966,26.0,2
967,28.0,1
968,32.650001525878906,0
969,27.399999618530273,4
970,26.2,2
971,28.0,2
972,27.8,3
973,30.350000381469727,5
974,27.8,3
975,28.0,2
976,34.20000076293945,4
977,19.200000762939453,0
978,27.6,2
979,26.0,2
980,29.899999618530273,5
981,31.649999618530273,0
982,20.2,0
983,28.450000762939453,4
984,27.6,3
985,30.350000381469727,0
986,26.649999618530273,4
987,28.0,3
988,27.8,3
989,26.2,3
990,16.8,0
991,25.2,0
992,26.0,2
993,20.75,0
994,26.2,2
995,26.0,1
996,20.2,3
997,29.899999618530273,4
998,26.600000381469727,4
999,27.4,5
1000,20.2,0
1001,28.0,3
1002,33.400001525878906,0
1003,32.900001525878906,5
1004,34.20000076293945,0
1005,26.600000381469727,4
1006,26.0,3
1007,27.8,3
1008,27.8,3
1009,33.5,5
1010,32.70000076293945,0
1011,26.0,3
1012,27.8,2
1013,27.5,4
1014,26.0,2
1015,34.20000076293945,0
1016,26.0,3
1017,27.4,3
1018,27.8,1
1019,26.0,3
1020,27.399999618530273,0
1021,27.6,2
1022,26.2,2
1023,27.8,3
1024,21.5,0
1025,23.500099182128906,4
1026,16.8,0
1027,21.5,0
1028,28.450000762939453,0
1029,27.6,2
1030,28.0,3
1031,21.6,0
1032,27.8,3
1033,30.350000381469727,5
1034,27.8,3
1035,31.649999618530273,5
1036,27.8,3
1037,32.900001525878906,0
1038,20.75,4
1039,26.0,2
1040,34.5,5
1041,25.2,0
1042,25.2,5
1043,20.2,0
1044,21.6,0
1045,28.0,3
1046,19.100000381469727,4
1047,26.2,2
1048,26.2,2
1049,18.899999618530273,4
1050,31.649999618530273,5
1051,19.5,4
1052,36.599998474121094,0
1053,23.799999237060547,4
1054,19.6,0
1055,27.8,3
1056,34.599998474121094,0
1057,18.100000381469727,4
1058,29.500099182128906,5
1059,29.5,5
1060,28.0,3
1061,27.6,2
1062,21.6,0
1063,23.6,5
1064,29.500099182128906,5
1065,28.0,2
1066,28.299999237060547,0
1067,33.400001525878906,0
1068,27.6,2
1069,19.100000381469727,4
1070,27.8,1
1071,26.2,2
1072,27.8,3
1073,28.0,3
1074,23.799999237060547,4
1075,29.5,4
1076,23.75,4
1077,27.8,3
1078,19.850000381469727,0
1079,27.8,3
1080,26.0,2
1081,22.75,4
1082,28.0,1
1083,20.8,5
1084,28.0,2
1085,28.0,3
1086,18.799999237060547,5
1087,27.6,2
1088,25.2,0
1089,27.8,3
1090,29.899999618530273,4
1091,28.0,2
1092,18.899999618530273,4
1093,21.6,0
1094,18.100000381469727,4
1095,36.599998474121094,5
1096,27.8,3
1097,33.400001525878906,0
1098,26.0,2
1099,28.0,2
1100,27.8,3
1101,26.0,2
1102,27.8,3
1103,20.75,4
1104,28.0,3
1105,27.6,1
1106,26.2,2
1107,27.8,3
1108,18.8,5
1109,26.0,3
1110,26.0,2
1111,27.8,3
1112,19.100000381469727,4
1113,32.900001525878906,4
1114,19.5,0
1115,26.2,3
1116,34.599998474121094,0
1117,28.0,3
1118,27.8,3
1119,30.350000381469727,5
1120,22.0,4
1121,27.8,3
1122,28.0,3
1123,23.799999237060547,4
1124,19.6,0
1125,26.2,2
1126,25.2,0
1127,18.799999237060547,0
1128,26.0,2
1129,26.0,0
1130,26.0,2
1131,27.6,2
1132,28.0,3
1133,32.900001525878906,5
1134,26.0,2
1135,21.6,0
1136,27.6,2
1137,27.8,3
1138,28.0,3
1139,20.2,0
1140,29.500099182128906,5
1141,22.75,0
1142,27.8,3
1143,19.850000381469727,4
1144,20.8,0
1145,22.75,0
1146,22.0,4
1147,20.75,5
1148,26.0,2
1149,26.2,2
1150,27.8,3
1151,20.8,5
1152,28.0,2
1153,28.0,2
1154,25.2,0
1155,36.599998474121094,4
1156,26.600000381469727,4
1157,19.850000381469727,0
1158,16.8,5
1159,31.399999618530273,5
1160,31.399999618530273,5
1161,28.299999237060547,0
1162,16.8,5
1163,28.0,3
1164,28.0,3
1165,32.650001525878906,0
1166,26.649999618530273,4
1167,26.0,1
1168,27.0,0
1169,32.900001525878906,0
1170,29.5,4
1171,26.2,1
1172,19.100000381469727,4
1173,33.5,0
1174,26.2,1
1175,27.8,3
1176,28.0,2
1177,26.0,3
1178,25.8,0
1179,26.0,3
1180,26.0,2
1181,27.8,2
1182,26.600000381469727,0
1183,22.0,0
1184,27.8,3
1185,31.649999618530273,5
1186,27.6,2
1187,34.5,0
1188,23.5,4
1189,31.399999618530273,5
1190,28.0,2
1191,30.350000381469727,5
1192,26.0,3
1193,34.20000076293945,0
1194,17.6,5
1195,25.8,2
1196,20.2,0
1197,27.8,3
1198,24.100000381469727,4
1199,29.899999618530273,5
1200,26.0,3
1201,27.8,3
1202,32.900001525878906,0
1203,28.0,2
1204,26.0,3
1205,27.8,3
1206,21.5,4
1207,26.2,2
1208,34.5,0
1209,31.649999618530273,5
1210,19.100000381469727,4
1211,27.8,2
1212,21.6,0
1213,27.8,3
1214,29.899999618530273,5
1215,27.399999618530273,4
1216,32.70000076293945,0
1217,27.0,4
1218,28.0,3
1219,27.6,2
1220,17.6,0
1221,27.8,2
1222,21.6,5
1223,26.0,3
1224,34.150001525878906,0
1225,28.0,3
1226,26.600000381469727,4
1227,27.8,3
1228,28.0,3
1229,28.0,2
1230,32.70000076293945,4
1231,34.79999923706055,0
1232,26.0,3
1233,27.8,3
1234,18.100000381469727,4
1235,28.0,4
1236,26.0,2
1237,27.399999618530273,4
1238,27.8,1
1239,28.0,2
1240,28.0,3
1241,32.70000076293945,0
1242,26.0,2
1243,21.6,0
1244,27.6,3
1245,31.399999618530273,5
1246,27.399999618530273,0
1247,31.399999618530273,4
1248,24.100000381469727,4
1249,21.5,4
1250,26.0,2
1251,20.100000381469727,4
1252,20.2,0
1253,31.649999618530273,0
1254,23.500099182128906,4
1255,34.150001525878906,5
1256,28.0,3
1257,25.2,0
1258,19.200000762939453,4
1259,26.0,3
1260,26.0,3
1261,33.400001525878906,4
1262,22.75,4
1263,32.54999923706055,0
1264,25.2,0
1265,26.2,2
1266,28.0,3
1267,23.75,0
1268,18.100000381469727,4
1269,27.399999618530273,0
1270,28.299999237060547,5
1271,32.900001525878906,4
1272,27.8,2
1273,27.8,2
1274,28.0,3
1275,27.8,3
1276,34.599998474121094,5
1277,23.5,5
1278,26.2,2
1279,25.209999084472656,4
1280,28.0,2
1281,28.0,1
1282,26.0,0
1283,19.5,4
1284,22.0,4
1285,26.2,1
1286,28.0,3
1287,28.299999237060547,4
1288,26.0,2
1289,34.20000076293945,0
1290,34.5,5
1291,23.5,4
1292,28.0,3
1293,31.649999618530273,5
1294,26.0,3
1295,27.8,2
1296,18.799999237060547,4
1297,32.900001525878906,4
1298,27.8,2
1299,23.75,4
1300,28.0,2
1301,28.0,3
1302,26.2,2
1303,29.899999618530273,5
1304,26.2,2
1305,28.0,3
1306,22.000999450683594,4
1307,27.8,3
1308,31.649999618530273,5
1309,34.150001525878906,4
1310,28.299999237060547,0
1311,31.649999618530273,5
1312,32.650001525878906,0
1313,29.5,0
1314,26.2,3
1315,26.2,0
1316,18.8,0
1317,26.2,2
1318,27.8,2
1319,32.54999923706055,0
1320,30.350000381469727,5
1321,28.0,3
1322,24.399999618530273,4
1323,34.79999923706055,0
1324,16.8,0
1325,27.6,2
1326,27.8,3
1327,34.599998474121094,4
1328,27.8,0
1329,28.0,3
1330,27.6,2
1331,26.2,2
1332,26.0,2
1333,28.0,3
1334,23.799999237060547,4
1335,26.0,3
1336,27.6,2
1337,28.0,3
1338,25.8,0
1339,26.0,2
1340,28.0,3
1341,27.8,2
1342,29.899999618530273,5
1343,27.8,3
1344,26.0,3
1345,28.0,2
1346,22.0,0
1347,30.350000381469727,5
1348,20.8,0
1349,25.2,0
1350,26.0,3
1351,33.5,0
1352,28.0,2
1353,20.75,4
1354,27.8,2
1355,28.0,4
1356,23.5,4
1357,28.0,3
1358,26.649999618530273,4
1359,26.2,3
1360,29.500099182128906,5
1361,33.5,0
1362,27.8,3
1363,26.0,3
1364,26.0,2
1365,27.399999618530273,4
1366,27.6,2
1367,31.399999618530273,5
1368,19.100000381469727,4
1369,27.6,1
1370,27.8,3
1371,28.0,3
1372,25.209999084472656,0
1373,26.0,3
1374,26.2,3
1375,31.649999618530273,5
1376,23.5,4
1377,19.200000762939453,4
1378,19.6,5
1379,25.2,0
1380,27.8,0
1381,20.100000381469727,4
1382,31.399999618530273,5
1383,29.500099182128906,5
1384,27.8,2
1385,23.799999237060547,4
1386,28.0,3
1387,22.75,4
1388,22.000999450683594,0
1389,21.5,4
1390,19.6,0
1391,28.299999237060547,4
1392,27.8,3
1393,27.8,3
1394,27.8,3
1395,26.600000381469727,0
1396,26.600000381469727,4
1397,18.8,0
1398,22.4,5
1399,27.6,1
