InstanceIndex,Output,Classification
440,31.4,1
441,25.2,0
442,30.35,0
443,27.8,0
444,26.2,0
445,32.549999,0
446,26.0,0
447,27.8,0
448,32.900002,1
449,28.0,0
450,32.900002,0
451,28.0,0
452,28.0,0
453,23.8,1
454,23.75,1
455,28.299999,0
456,19.5,1
457,18.1,1
458,26.0,0
459,26.0,0
460,34.5,1
461,27.8,0
462,27.8,0
463,23.799999,1
464,30.35,0
465,26.0,0
466,27.8,1
467,26.0,0
468,18.9,1
469,27.6,0
470,28.0,0
471,26.2,0
472,16.8,1
473,26.2,0
474,27.6,0
475,22.75,1
476,26.0,0
477,19.6,1
478,27.8,0
479,28.0,0
480,25.8,1
481,33.5,1
482,21.5,1
483,25.8,1
484,28.2,0
485,26.0,0
486,27.6,0
487,22.000999,1
488,19.1,0
489,29.5,0
490,26.2,0
491,26.2,0
492,31.65,0
493,27.4,1
494,21.5,1
495,27.8,0
496,28.0,0
497,26.0,0
498,24.1,1
499,29.5,1
500,28.0,0
501,28.450001,1
502,20.2,1
503,26.0,0
504,34.5,0
505,29.9,1
506,27.8,0
507,32.549999,1
508,25.2,1
509,29.9,0
510,26.0,0
511,26.0,1
512,16.8,1
513,27.8,0
514,25.209999,1
515,27.6,0
516,27.6,0
517,18.9,1
518,18.9,1
519,26.0,0
520,29.9,0
521,32.650002,1
522,30.35,0
523,19.5,1
524,28.0,0
525,33.5,1
526,24.4,1
527,27.8,0
528,24.4,1
529,26.0,0
530,28.0,0
531,26.0,0
532,27.8,0
533,28.0,0
534,26.0,0
535,18.799999,1
536,26.65,1
537,30.35,0
538,25.2,0
539,27.8,0
540,33.400002,1
541,30.35,0
542,25.8,1
543,31.4,0
544,25.200001,1
545,26.2,0
546,19.200001,1
547,34.599998,0
548,25.2,0
549,26.0,0
550,26.0,0
551,23.5,1
552,26.0,0
553,27.8,0
554,20.75,0
555,28.2,0
556,27.5,1
557,28.0,0
558,28.0,0
559,28.0,0
560,20.75,0
561,27.6,0
562,20.1,1
563,25.2,1
564,28.0,0
565,27.6,0
566,28.0,0
567,32.700001,0
568,26.0,0
569,28.0,0
570,26.0,0
571,20.2,1
572,26.0,0
573,16.8,1
574,25.2,1
575,26.2,0
576,34.5,0
577,26.0,0
578,20.75,1
579,34.599998,0
580,28.0,0
581,26.2,0
582,29.500099,0
583,26.0,1
584,34.799999,0
585,36.599998,0
586,26.6,1
587,20.2,1
588,24.4,1
589,28.0,0
590,32.900002,0
591,27.8,0
592,24.700001,1
